variable,run_path,threshold_label,threshold_value,mean_loss,median_loss,p99_loss,mean_events,median_events,p99_events,mean_tp,median_tp,p99_tp,mean_fp,median_fp,p99_fp,mean_tn,median_tn,p99_tn,mean_fn,median_fn,p99_fn,mean_tp_loss,median_tp_loss,p99_tp_loss,mean_fp_loss,median_fp_loss,p99_fp_loss,mean_fn_loss,median_fn_loss,p99_fn_loss,obs_tp,obs_fp,obs_tn,obs_fn,mean_obs_yearly_loss,mean_obs_yearly_events,mean_loss_minus_obs
swh_p75_swan,run_g5,fold3,2.26457132,987757.3558104397,967357.043956044,1560253.2967032972,31.65375,31.0,50.0,7.5605,7.0,14.0,11.23325,11.0,19.0,0.0,0.0,0.0,9.57375,9.0,17.0,440638.93478846154,436870.92307692306,873741.8461538462,547118.4210219781,530486.1208791209,967357.0439560441,495037.16597802204,499281.0549450549,936151.978021978,100,122,2222,113,949525.5777080065,30.428571428571427,38231.77810243319
swh_p75_swan,run_g5,fold4,2.253428570000001,1014117.8352582419,998562.10989011,1591458.3626373634,32.4985,32.0,51.0,7.719,8.0,14.0,11.783,12.0,20.0,0.0,0.0,0.0,9.42225,9.0,17.0,449352.9494505495,436870.9230769231,904946.912087912,564764.8858076923,561691.1868131869,998562.1098901101,486323.1513159341,468075.9890109891,904946.9120879123,102,126,2218,111,949525.5777080065,30.428571428571427,64592.25755023537
swh_p75_swan,run_g5,p75,2.2483749500000005,1018494.3457554945,998562.10989011,1622663.4285714286,32.63875,32.0,52.0,7.719,8.0,14.0,11.79525,12.0,20.0,0.0,0.0,0.0,9.42225,9.0,17.0,449352.9494505495,436870.9230769231,904946.912087912,569141.3963049451,561691.1868131869,998562.1098901101,486323.1513159341,468075.9890109891,904946.9120879123,102,127,2217,111,949525.5777080065,30.428571428571427,68968.76804748806
swh_p75_swan,run_g5,fold2,2.2332140899999997,1095828.3004065936,1092177.3076923075,1716590.6770329606,35.117,35.0,55.00999999999976,7.78225,8.0,14.0,12.4925,12.0,20.0,0.0,0.0,0.0,8.83625,9.0,16.0,467919.9636813187,468075.98901098897,936151.978021978,627908.3367252748,624101.3186813188,1092177.3076923077,467756.1370851649,468075.98901098897,904946.9120879121,106,140,2204,107,949525.5777080065,30.428571428571427,146302.7226985871
swh_p75_swan,run_g5,median,2.090937366875,1756221.110769231,1747483.6923076927,2465200.208791209,56.28,56.0,79.0,10.03925,10.0,16.009999999999764,20.934,21.0,30.0,0.0,0.0,0.0,7.00075,7.0,13.0,592865.0476813187,592896.2527472527,1092177.3076923077,1163356.0630879123,1154587.43956044,1747483.6923076927,342811.05308516487,343255.72527472524,686823.501208784,134,261,2083,79,949525.5777080065,30.428571428571427,806695.5330612246
swh_p75_swan,run_g5,mean,2.012437435208333,2215996.5522417584,2215559.6813186817,2995686.3296703296,71.014,71.0,96.0,11.4295,11.0,19.0,26.629,27.0,36.0,0.0,0.0,0.0,5.99675,6.0,12.0,672203.9278186815,655306.3846153847,1185792.5054945056,1543792.6244230776,1529048.2307692314,2215559.681318681,263472.17294780223,249640.52747252746,561691.186813187,152,346,1998,61,949525.5777080065,30.428571428571427,1266470.974533752
swh_p75_swan,run_g5,fold5,1.94866064375,2701937.4415,2683635.6703296714,3557377.516483515,86.5865,86.0,114.0,11.75625,12.0,19.0,31.1265,31.0,40.0,0.0,0.0,0.0,5.15975,5.0,11.0,726173.0893516485,717716.5164835165,1248202.6373626376,1975764.3521483522,1965919.1538461545,2715152.7869230704,209503.01141483517,187230.3956043956,468388.0396703225,164,443,1901,49,949525.5777080065,30.428571428571427,1752411.8637919938
swh_p75_swan,run_g5,fold1,1.8991070875,3005305.291244505,2995686.3296703296,3869428.175824174,96.30825,96.0,124.0,11.957,12.0,19.0,33.61125,34.0,43.0,0.0,0.0,0.0,4.66225,4.0,10.0,752986.0422554946,748921.5824175824,1310612.7692307692,2252319.248989011,2246764.7472527474,3058096.4615384606,182690.058510989,187230.3956043956,436870.92307692324,170,505,1839,43,949525.5777080065,30.428571428571427,2055779.7135364986
swh_p75_swan,run_g5,fold0,1.4756429,7754263.852953297,7770061.417582415,8581393.13186813,248.49375,249.0,275.0,12.5805,13.0,20.0,48.66125,49.0,59.0,0.0,0.0,0.0,1.109,1.0,4.0,893081.1857664835,873741.8461538462,1466638.0989010993,6861182.667186812,6865114.505494504,7739168.402307686,42594.915,31205.065934065933,156025.32967032967,203,1537,807,10,949525.5777080065,30.428571428571427,6804738.27524529
