Method,Source_File,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Sim_TP,Sim_FP,Sim_TN,Sim_FN,Accuracy,Precision,Recall,Specificity,F1_Score,Obs_Total_Events,Obs_Predicted_Events,Obs_Event_Rate,Obs_Prediction_Rate
Single Rule (Best: swh_mean_waverys),aep_multi_threshold_full_summary_20250709_235447.csv,174,164,2044,175,14.01325,16.26325,0.0,17.06525,0.867,0.515,0.499,0.926,0.507,349,338,0.136,0.132
Multi-Rule (double_AND): anom_swh_p80_swan & swh_max_swan,direct_calculation,176,204,2004,173,0.0,0.0,0.0,0.0,0.853,0.463,0.504,0.908,0.483,349,380,0.136,0.149
Machine Learning (Full Dataset CV),full_dataset_cv_calculation,217,258,1950,132,0.0,0.0,0.0,0.0,0.847,0.457,0.622,0.883,0.527,349,475,0.136,0.186
