year,1day_total_loss,1day_num_events,1day_days_closed,2day_total_loss,2day_num_events,2day_days_closed,3day_total_loss,3day_num_events,3day_days_closed,4day_total_loss,4day_num_events,4day_days_closed,5day_total_loss,5day_num_events,5day_days_closed,6day_total_loss,6day_num_events,6day_days_closed,7day_total_loss,7day_num_events,7day_days_closed
2018,2277839.333333334,26,94,2180910.0000000005,22,90,1793192.666666667,14,74,1357010.6666666667,8,56,1163152.0,6,48,920828.6666666667,4,38,775434.6666666667,3,32
2019,2205142.3333333335,27,91,2108213.0,23,87,1817425.0,17,75,1308546.0,10,54,920828.6666666667,6,38,557343.6666666667,3,23,411949.6666666667,2,17
2020,2302071.666666667,24,95,2253607.0,22,93,1962819.0000000002,16,81,1453940.0000000002,9,60,1163152.0,6,48,1041990.3333333334,5,43,896596.3333333334,4,37
2021,2229374.666666667,24,92,2156677.666666667,21,89,1914354.3333333335,16,79,1405475.3333333335,9,58,1405475.3333333335,9,58,799667.0000000001,4,33,508879.0,2,21
2022,1865889.666666667,23,77,1793192.666666667,20,74,1405475.3333333335,12,58,1041990.3333333335,7,43,751202.3333333334,4,31,751202.3333333334,4,31,460414.3333333334,2,19
2023,1841657.3333333335,20,76,1768960.3333333335,17,73,1623566.3333333335,14,67,1332778.3333333335,10,55,1138919.6666666667,8,47,533111.3333333334,3,22,387717.3333333334,2,16
2024,1187384.3333333335,15,49,1138919.6666666667,13,47,848131.6666666667,7,35,630040.6666666667,4,26,533111.3333333334,3,22,533111.3333333334,3,22,387717.3333333334,2,16
