threshold_label,threshold_value,mean_loss,median_loss,p99_loss,mean_events,median_events,p99_events,mean_tp,median_tp,p99_tp,mean_fp,median_fp,p99_fp,mean_tn,median_tn,p99_tn,mean_fn,median_fn,p99_fn,obs_tp,obs_fp,obs_tn,obs_fn,obs_losses
fold0,1.9399999,1532159.8942876193,1525809.1504761914,1910173.2876190476,,,,,,,,,,,,,,,,,,,,
fold1,2.16800002,881047.0459676194,873554.8571428576,1199682.003809524,,,,,,,,,,,,,,,,,,,,
fold2,2.0533333,1172939.5777828575,1176387.2076190475,1525809.1504761907,,,,,,,,,,,,,,,,,,,,
fold3,2.1366665,957255.9717047622,955086.643809524,1281213.7904761906,,,,,,,,,,,,,,,,,,,,
fold4,1.9905000650000004,1370572.6286628577,1368569.2761904765,1735578.7901714267,,,,,,,,,,,,,,,,,,,,
fold5,2.2166667,795004.8043885718,792023.0704761907,1094855.420952381,,,,,,,,,,,,,,,,,,,,
mean,2.084194414166667,1096215.2546800002,1094855.420952381,1432629.9657142863,,,,,,,,,,,,,,,,,,,,
median,2.0949999,1074306.4988628572,1071560.6247619053,1409451.6435047602,,,,,,,,,,,,,,,,,,,,
p75,2.16016664,886049.6034495241,885202.2552380954,1199682.0038095245,,,,,,,,,,,,,,,,,,,,
