threshold,total_loss,avg_loss_per_year,total_events,total_days_closed,years_with_events,avg_events_per_year,avg_days_closed_per_year
1day,13570106.666666668,1938586.6666666667,159,560,7,22.714285714285715,80.0
2day,13061227.666666668,1865889.6666666667,138,539,7,19.714285714285715,77.0
3day,11025711.666666668,1575101.6666666667,96,455,7,13.714285714285714,65.0
4day,8117831.666666669,1159690.2380952383,56,335,7,8.0,47.857142857142854
5day,6663891.666666667,951984.5238095239,41,275,7,5.857142857142857,39.285714285714285
6day,4725305.0,675043.5714285715,25,195,7,3.5714285714285716,27.857142857142858
7day,3416759.0000000005,488108.42857142864,16,141,7,2.2857142857142856,20.142857142857142
