cost_type,loss,probability
FN_Cost,1397687.771428572,0.00024993751562109475
FN_Cost,1397687.7714285715,0.0004998750312421895
FN_Cost,1386040.3733333335,0.0007498125468632841
FN_Cost,1374392.9752380957,0.000999750062484379
FN_Cost,1374392.9752380953,0.0012496875781054736
FN_Cost,1362745.5771428572,0.0014996250937265683
FN_Cost,1362745.577142857,0.0017495626093476631
FN_Cost,1351098.1790476195,0.001999500124968758
FN_Cost,1339450.7809523817,0.0022494376405898524
FN_Cost,1339450.7809523812,0.0024993751562109472
FN_Cost,1327803.3828571436,0.002749312671832042
FN_Cost,1327803.3828571436,0.0029992501874531365
FN_Cost,1327803.3828571432,0.0032491877030742314
FN_Cost,1327803.3828571432,0.0034991252186953262
FN_Cost,1327803.3828571427,0.003749062734316421
FN_Cost,1304508.5866666674,0.003999000249937516
FN_Cost,1304508.586666667,0.00424893776555861
FN_Cost,1304508.586666667,0.004498875281179705
FN_Cost,1304508.5866666667,0.0047488127968008
FN_Cost,1281213.7904761909,0.0049987503124218945
FN_Cost,1281213.7904761909,0.005248687828042989
FN_Cost,1281213.7904761909,0.005498625343664084
FN_Cost,1281213.7904761909,0.005748562859285179
FN_Cost,1269566.3923809528,0.005998500374906273
FN_Cost,1269566.3923809528,0.006248437890527368
FN_Cost,1269566.3923809526,0.006498375406148463
FN_Cost,1269566.3923809526,0.006748312921769558
FN_Cost,1269566.3923809526,0.0069982504373906525
FN_Cost,1269566.3923809526,0.007248187953011747
FN_Cost,1269566.3923809526,0.007498125468632842
FN_Cost,1269566.3923809524,0.007748062984253936
FN_Cost,1257918.994285715,0.007998000499875032
FN_Cost,1257918.994285715,0.008247938015496127
FN_Cost,1257918.994285715,0.00849787553111722
FN_Cost,1257918.9942857148,0.008747813046738315
FN_Cost,1257918.9942857148,0.00899775056235941
FN_Cost,1257918.9942857148,0.009247688077980504
FN_Cost,1257918.9942857148,0.0094976255936016
FN_Cost,1257918.9942857148,0.009747563109222694
FN_Cost,1257918.9942857146,0.009997500624843789
FN_Cost,1257918.9942857146,0.010247438140464884
FN_Cost,1257918.9942857146,0.010497375656085979
FN_Cost,1257918.9942857143,0.010747313171707074
FN_Cost,1246271.596190477,0.010997250687328168
FN_Cost,1246271.596190477,0.011247188202949263
FN_Cost,1246271.5961904768,0.011497125718570358
FN_Cost,1246271.5961904768,0.011747063234191453
FN_Cost,1246271.5961904768,0.011997000749812546
FN_Cost,1246271.5961904768,0.012246938265433641
FN_Cost,1246271.5961904766,0.012496875781054736
FN_Cost,1246271.5961904766,0.01274681329667583
FN_Cost,1246271.5961904766,0.012996750812296926
FN_Cost,1246271.5961904766,0.01324668832791802
FN_Cost,1246271.5961904763,0.013496625843539115
FN_Cost,1246271.5961904763,0.01374656335916021
FN_Cost,1246271.5961904763,0.013996500874781305
FN_Cost,1246271.5961904763,0.0142464383904024
FN_Cost,1246271.5961904763,0.014496375906023495
FN_Cost,1246271.596190476,0.01474631342164459
FN_Cost,1234624.1980952388,0.014996250937265684
FN_Cost,1234624.1980952388,0.015246188452886777
FN_Cost,1234624.1980952388,0.015496125968507872
FN_Cost,1234624.1980952385,0.015746063484128967
FN_Cost,1234624.1980952385,0.015996000999750064
FN_Cost,1234624.1980952385,0.016245938515371157
FN_Cost,1234624.1980952385,0.016495876030992253
FN_Cost,1234624.1980952385,0.016745813546613347
FN_Cost,1234624.1980952385,0.01699575106223444
FN_Cost,1234624.1980952383,0.017245688577855536
FN_Cost,1234624.1980952383,0.01749562609347663
