variable,run_path,W_param,N_param,min_days,threshold_label,threshold_value,mean_loss,median_loss,p99_loss,mean_events,median_events,p99_events,mean_tp,median_tp,p99_tp,mean_fp,median_fp,p99_fp,mean_tn,median_tn,p99_tn,mean_fn,median_fn,p99_fn,mean_tp_loss,median_tp_loss,p99_tp_loss,mean_fp_loss,median_fp_loss,p99_fp_loss,mean_fn_loss,median_fn_loss,p99_fn_loss,obs_tp,obs_fp,obs_tn,obs_fn,mean_obs_yearly_loss,mean_obs_yearly_events,mean_loss_minus_obs
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold0,1.9399999,1149688.4593352384,1141445.013333334,1584046.1409523815,131.54525,131.0,164.0,25.702,26.0,34.00999999999976,38.84075,39.0,50.0,0.0,0.0,0.0,8.89075,9.0,16.0,517686.0794400002,512485.51619047625,861907.4590476191,237947.6075371429,232947.96190476196,477543.321904762,34292.851841904776,34942.19428571429,139768.77714285717,474,448,1556,86,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold1,2.16800002,521762.6687733334,512485.5161904764,861907.4590476193,75.64325,75.0,103.0,23.525,23.0,33.0,17.51375,17.0,26.009999999999764,0.0,0.0,0.0,18.94975,19.0,28.0,342681.0112095239,337774.5447619048,617428.5730285689,36718.422495238105,34942.19428571429,151532.64921904492,68943.8611752381,69884.38857142859,221300.56380952382,373,158,1846,187,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold2,2.0533333,775964.2203523812,768728.2742857145,1164739.80952381,100.704,101.0,131.0,24.9865,25.0,34.0,28.53925,28.0,39.0,0.0,0.0,0.0,14.62325,14.0,23.0,427098.44075428584,419306.33142857155,722138.681904762,92029.00420000002,81531.78666666668,256242.75809523812,44437.73558285715,34942.19428571429,174710.97142857144,423,283,1721,137,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold3,2.1366665,583391.963944762,582369.9047619049,931908.3215999976,82.18625,82.0,110.0,24.20375,24.0,33.0,20.87975,21.0,30.0,0.0,0.0,0.0,18.01475,18.0,27.0,357441.1764457144,349421.94285714295,640606.8952380953,45200.64015809526,34942.19428571429,174710.97142857144,53802.24365142858,34942.19428571429,186358.36952380958,386,191,1813,174,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold4,1.9905000650000004,983750.8905219049,978381.4400000004,1409335.1695238098,117.672,117.5,149.00999999999976,25.17525,25.0,34.0,33.351,33.0,44.0,0.0,0.0,0.0,10.45425,10.0,18.0,492096.745824762,489190.7200000001,815317.8666666668,160801.06625333338,151416.17523809528,372716.7390476191,40049.5783504762,34942.19428571429,151416.17523809525,458,367,1637,102,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,fold5,2.2166667,435356.44600380963,430953.7295238096,745433.4780952383,68.256,68.0,94.0,23.14325,23.0,33.0,14.4345,14.0,23.0,0.0,0.0,0.0,21.0265,21.0,31.0,302415.95599428576,291184.9523809525,559075.1085714287,26489.095118095247,0.0,128237.85302856869,76412.75520380953,69884.38857142859,232947.96190476193,351,128,1876,209,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,mean,2.084194414166667,714579.5205409527,710491.283809524,1071560.624761905,94.11675,94.0,123.0,24.456,24.0,33.0,25.9585,26.0,37.0,0.0,0.0,0.0,16.11675,16.0,25.0,405160.56644190487,396011.5352380953,698843.8857142859,72053.71646666668,69884.38857142859,221300.56380952385,44976.42774476192,34942.19428571429,174710.97142857144,408,252,1752,152,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,median,2.0949999,702294.4274000002,698843.8857142859,1071560.6247619048,92.23575,92.0,121.00999999999976,24.42925,24.0,33.0,25.03475,25.0,35.0,0.0,0.0,0.0,16.2825,16.0,25.0,401075.24156000005,396011.5352380953,687312.9615999975,70923.91885142859,69884.38857142859,221300.56380952385,45052.13583238096,34942.19428571429,174710.97142857144,406,241,1763,154,,560.0,
swh_max_swan,run_g10,8.830476190476192,1319.0,3,p75,2.16016664,522682.81322285725,518309.2152380954,861907.4590476193,76.07275,76.0,103.0,23.525,23.0,33.0,17.8135,18.0,27.0,0.0,0.0,0.0,18.94975,19.0,28.0,342681.0112095239,337774.5447619048,617428.5730285689,36925.163811428574,34942.19428571429,163063.57333333336,68943.8611752381,69884.38857142859,221300.56380952382,373,161,1843,187,,560.0,
