type,description,f1_score,mean_loss,zero_prob
triple_AND,swh_max_swan AND swh_p80_swan AND anom_swh_max_waverys,0.5911392405063292,174705.3714285714,0.0
triple_AND_OR,swh_max_swan AND swh_p80_swan OR anom_swh_p80_waverys,0.5436781609195402,200928.18285714288,0.0
