rank,features,thresholds,f1_score,mean_loss,prediction_rate,total_predictions
1,"['swh_max_swan', 'anom_swh_p80_swan']","(np.float64(1.9166666), np.float64(0.1850487195833333))",0.640194489465154,118713.7737142857,0.2838734869191722,727
2,"['swh_max_swan', 'anom_swh_p80_waverys']","(np.float64(1.9166666), np.float64(0.1887734374999999))",0.6532582461786002,119993.45371428569,0.2873877391643889,736
3,"['swh_p80_swan', 'anom_swh_p80_waverys']","(np.float64(1.8453333), np.float64(0.1887734374999999))",0.6500802568218298,120046.73828571427,0.28855915657946113,739
