rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,anom_swh_max_deseasonalized_detrended_rolling_mean_3 > threshold,6,0.5052575306741307,0.08623888654369592,0.45479041709187257,0.6260930735930735,0.7570776255707762,271,382,1387,150,6
single,anom_swh_median_abs_change_7 > threshold,6,0.5051189696277255,0.06048390090872242,0.5086425002099605,0.5089105339105339,0.8127853881278538,219,208,1561,202,6
single,anom_swh_p25_abs_change_14 > threshold,6,0.5046647705766318,0.0650475720395168,0.4669595125997614,0.609076479076479,0.7744292237442923,261,334,1435,160,6
single,anom_swh_p80_deseasonalized_detrended_rolling_mean_3 > threshold,6,0.504409849736172,0.07843664518651666,0.43220027386694054,0.6348971861471862,0.7561643835616438,271,384,1385,150,6
single,anom_swh_p80_deseasonalized_detrended_persistence_3 > threshold,6,0.504409849736172,0.07843664518651666,0.43220027386694054,0.6348971861471862,0.7561643835616438,271,384,1385,150,6
single,anom_swh_mean_deseasonalized_abs_change_14 > threshold,6,0.5042210641183841,0.05351287069013021,0.46732267117240517,0.5599729437229438,0.791324200913242,241,277,1492,180,6
single,anom_swh_mean_deseasonalized_detrended_abs_change_14 > threshold,6,0.5042210641183841,0.05351287069013021,0.46732267117240517,0.5599729437229438,0.791324200913242,241,277,1492,180,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_min_trend_3 > t2,6,0.5041070745288093,0.027999002588228197,0.4562178713317686,0.6127362914862915,0.7675799086757991,265,353,1416,156,6
piecewise,anom_swh_p80_trend_7 > t1 if anom_swh_p80_deseasonalized_detrended_trend_5 > t2 else anom_swh_p80_trend_7 > t3,6,0.5039738045234682,0.039436597803094636,0.4599776617657006,0.5996645021645022,0.7648401826484018,263,357,1412,158,6
single,anom_swh_p80_trend_7 > threshold,6,0.5039738045234682,0.039436597803094636,0.4599776617657006,0.5996645021645022,0.7648401826484018,263,357,1412,158,6
single,anom_swh_mean_trend_3 > threshold,6,0.5034107108818621,0.04481471611565744,0.5019750400226434,0.574215367965368,0.7826484018264841,251,306,1463,170,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p80_deseasonalized_detrended_trend_14 > t2,6,0.5033191654852779,0.04648704934514973,0.3731099078015317,0.7862445887445887,0.7009132420091325,337,571,1198,84,6
single,anom_swh_p80_trend_5 > threshold,6,0.5027727776975253,0.02989615034729049,0.45566251808294367,0.5709577922077922,0.7853881278538813,237,286,1483,184,6
piecewise,anom_swh_p80_trend_5 > t1 if anom_swh_p80_trend_7 > t2 else anom_swh_p80_trend_5 > t3,6,0.5027727776975253,0.02989615034729049,0.45566251808294367,0.5709577922077922,0.7853881278538813,237,286,1483,184,6
single,anom_swh_p80_deseasonalized_rolling_mean_3 > threshold,6,0.5022739583443122,0.08285559761296946,0.4134048796749444,0.6773232323232324,0.7365296803652969,289,445,1324,132,6
or_2,anom_swh_p80_trend_3 > t1 OR anom_swh_p80_deseasonalized_abs_change_3 > t2,6,0.5022234761491045,0.04336834338255649,0.44326452315920234,0.6434920634920634,0.7479452054794521,274,405,1364,147,6
