Method,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Accuracy,Precision,Recall,F1_Score
Single Rule (Best: duration_intensity_p60_waverys),375,150,1904,132,0.89,0.714,0.74,0.727
Multi-Rule (double_AND): anom_swh_p80_swan & swh_max_swan,389,432,1622,118,0.785,0.474,0.767,0.586
Machine Learning (Full Dataset CV),294,157,1897,213,0.856,0.652,0.58,0.614
