type,description,f1_score,mean_loss,zero_prob
triple_AND,anom_swh_min_waverys AND anom_swh_mean_waverys AND anom_swh_p80_waverys,0.3108108108108108,308474.8734857144,0.0
triple_AND_OR,anom_swh_min_waverys AND anom_swh_mean_waverys OR anom_swh_max_waverys,0.23041474654377878,539076.6694285716,0.0
