combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob
4,double_AND,anom_swh_min_waverys > t1 AND anom_swh_max_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_max_waverys']","(np.float64(0.20771093750000003), np.float64(0.4388984374999997))",0.296875,243425.9018571429,580276.2857142859,0.0
16,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_max_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_max_waverys']","(np.float64(0.29010937499999984), np.float64(0.4388984374999997))",0.27586206896551724,295766.8228285715,673120.4914285715,0.0
2,double_AND,anom_swh_min_waverys > t1 AND anom_swh_p80_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_p80_waverys']","(np.float64(0.20771093750000003), np.float64(0.3539765624999998))",0.3108108108108108,311666.3930571429,742753.6457142858,0.0
14,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_p80_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_p80_waverys']","(np.float64(0.29010937499999984), np.float64(0.3539765624999998))",0.29268292682926833,360699.7392,765964.6971428574,0.0
0,double_AND,anom_swh_min_waverys > t1 AND anom_swh_mean_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_mean_waverys']","(np.float64(0.20771093750000003), np.float64(0.29010937499999984))",0.2804878048780488,362498.59568571433,765964.6971428574,0.0
18,double_AND,anom_swh_mean_waverys > t1 AND anom_swe_min > t2,"['anom_swh_mean_waverys', 'anom_swe_min']","(np.float64(0.29010937499999984), np.float64(-0.3280624999999999))",0.2651933701657459,414839.51665714296,812386.8000000003,0.0
6,double_AND,anom_swh_min_waverys > t1 AND anom_swe_min > t2,"['anom_swh_min_waverys', 'anom_swe_min']","(np.float64(0.20771093750000003), np.float64(-0.3280624999999999))",0.2651933701657459,419307.64405714296,835597.8514285717,0.0
10,double_AND,anom_swh_min_waverys > t1 AND anom_swe_p80 > t2,"['anom_swh_min_waverys', 'anom_swe_p80']","(np.float64(0.20771093750000003), np.float64(-0.22487968749999993))",0.2651933701657459,419307.64405714296,835597.8514285717,0.0
12,double_AND,anom_swh_min_waverys > t1 AND anom_swe_mean > t2,"['anom_swh_min_waverys', 'anom_swe_mean']","(np.float64(0.20771093750000003), np.float64(-0.2538203125))",0.2651933701657459,419307.64405714296,835597.8514285717,0.0
8,double_AND,anom_swh_min_waverys > t1 AND anom_swe_max > t2,"['anom_swh_min_waverys', 'anom_swe_max']","(np.float64(0.20771093750000003), np.float64(-0.19606249999999997))",0.2651933701657459,419307.64405714296,835597.8514285717,0.0
15,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_p80_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_p80_waverys']","(np.float64(0.29010937499999984), np.float64(0.3539765624999998))",0.24242424242424243,471010.2611142858,974864.1600000003,0.0
1,double_OR,anom_swh_min_waverys > t1 OR anom_swh_mean_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_mean_waverys']","(np.float64(0.20771093750000003), np.float64(0.29010937499999984))",0.25252525252525254,471648.56502857147,905231.0057142861,0.0
3,double_OR,anom_swh_min_waverys > t1 OR anom_swh_p80_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_p80_waverys']","(np.float64(0.20771093750000003), np.float64(0.3539765624999998))",0.2336448598130841,524511.734657143,1067708.365714286,0.0
17,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_max_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_max_waverys']","(np.float64(0.29010937499999984), np.float64(0.4388984374999997))",0.23041474654377878,536523.4537714287,1183763.6228571432,0.0
13,double_OR,anom_swh_min_waverys > t1 OR anom_swe_mean > t2,"['anom_swh_min_waverys', 'anom_swe_mean']","(np.float64(0.20771093750000003), np.float64(0.38066406249999984))",0.242152466367713,547780.8137142858,951653.108571429,0.0
11,double_OR,anom_swh_min_waverys > t1 OR anom_swe_p80 > t2,"['anom_swh_min_waverys', 'anom_swe_p80']","(np.float64(0.20771093750000003), np.float64(0.4369609374999997))",0.23893805309734514,557645.5105714287,1021286.2628571433,0.0
7,double_OR,anom_swh_min_waverys > t1 OR anom_swe_min > t2,"['anom_swh_min_waverys', 'anom_swe_min']","(np.float64(0.20771093750000003), np.float64(0.25974218749999983))",0.2290748898678414,566697.8206285716,974864.1600000004,0.0
19,double_OR,anom_swh_mean_waverys > t1 OR anom_swe_min > t2,"['anom_swh_mean_waverys', 'anom_swe_min']","(np.float64(0.29010937499999984), np.float64(0.25974218749999983))",0.2183406113537118,571107.9204000002,974864.1600000004,0.0
9,double_OR,anom_swh_min_waverys > t1 OR anom_swe_max > t2,"['anom_swh_min_waverys', 'anom_swe_max']","(np.float64(0.20771093750000003), np.float64(0.5006875))",0.22413793103448276,580334.3133428573,1044497.3142857145,0.0
5,double_OR,anom_swh_min_waverys > t1 OR anom_swh_max_waverys > t2,"['anom_swh_min_waverys', 'anom_swh_max_waverys']","(np.float64(0.20771093750000003), np.float64(0.4388984374999997))",0.2222222222222222,593332.5021428573,1276607.828571429,0.0
