Method,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Accuracy,Precision,Recall,F1_Score
Single Rule (Best: anom_swh_p25_deseasonalized_detrended_rolling_mean_14_lag_5),43,1715,783,10,0.324,0.024,0.811,0.047
Multi-Rule (double_AND): anom_swh_p80_swan & anom_swh_max_swan,3,134,2370,50,0.928,0.022,0.057,0.032
Machine Learning (2024 Only - Limited),9,9,340,8,0.954,0.5,0.529,0.514
