rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
majority_3,"Majority of anom_swh_min_waverys, anom_swh_mean_waverys, anom_swh_p80_deseasonalized_detrended_trend_7",6,0.32824605532448664,0.2589330228293753,0.2865740740740741,0.5355567226890756,0.7876712328767123,33,445,1692,20,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_min_waverys > t2,6,0.32058595909342175,0.26696223948967235,0.4206915500520152,0.42874649859943975,0.8082191780821918,25,392,1745,28,6
single,anom_swh_min_waverys > threshold,6,0.31586852608992544,0.261675631392422,0.2974537037037037,0.5272233893557423,0.7799086757990868,32,461,1676,21,6
piecewise,anom_swh_min_waverys > t1 if anom_swh_mean_waverys > t2 else anom_swh_min_waverys > t3,6,0.31586852608992544,0.261675631392422,0.2974537037037037,0.5272233893557423,0.7799086757990868,32,461,1676,21,6
single,anom_swh_mean_waverys > threshold,6,0.31478352066587356,0.25834983642350495,0.2708982531235053,0.556390056022409,0.7817351598173515,34,459,1678,19,6
piecewise,anom_swh_mean_waverys > t1 if anom_swh_p80_deseasonalized_detrended_trend_7 > t2 else anom_swh_mean_waverys > t3,6,0.31478352066587356,0.25834983642350495,0.2708982531235053,0.556390056022409,0.7817351598173515,34,459,1678,19,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_mean_waverys > t2,6,0.30547138047138045,0.2565200024334774,0.34404596387864106,0.4370798319327731,0.7986301369863015,26,414,1723,27,6
piecewise,anom_swh_p80_waverys > t1 if anom_swe_p80 > t2 else anom_swh_p80_waverys > t3,6,0.2955947279574081,0.2522135119338206,0.3596642492613484,0.4320028011204482,0.7767123287671233,26,462,1675,27,6
single,anom_swh_p80_waverys > threshold,6,0.2955947279574081,0.2522135119338206,0.3596642492613484,0.4320028011204482,0.7767123287671233,26,462,1675,27,6
majority_3,"Majority of anom_swh_p80_deseasonalized_detrended_trend_14_lag_5, anom_swh_min_waverys, anom_swh_mean_waverys",6,0.29511778269657396,0.2547058884555968,0.2625140607424072,0.5272233893557423,0.7794520547945206,32,462,1675,21,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_waverys > t2,6,0.2787163857114188,0.2516861574443303,0.3545662100456621,0.3745798319327731,0.7885844748858447,23,433,1704,30,6
majority_3,"Majority of anom_swh_max_waverys, anom_swh_p80_waverys, anom_swe_p80",6,0.2714712321710293,0.25256696787119143,0.31111366279175734,0.42874649859943975,0.7666666666666667,25,483,1654,28,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_deseasonalized_detrended_persistence_2 > t2,6,0.2601491237597633,0.20989901365952734,0.33164540138224347,0.35260854341736697,0.8392694063926941,20,319,1818,33,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_deseasonalized_abs_change_7 > t2,6,0.25874732905982906,0.23861177552414442,0.3288650148406246,0.3755252100840336,0.819634703196347,20,362,1775,33,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_deseasonalized_detrended_abs_change_7 > t2,6,0.25874732905982906,0.23861177552414442,0.3288650148406246,0.3755252100840336,0.819634703196347,20,362,1775,33,6
majority_3,"Majority of anom_swh_p80_waverys, anom_swe_p80, anom_swh_p80_trend_5_lag_14",6,0.2549137639941408,0.22320059080318488,0.3022287368849553,0.4353116246498599,0.7511415525114155,24,516,1621,29,6
majority_3,"Majority of anom_swe_mean, anom_swh_p80_trend_7, anom_swe_max",6,0.2547676094748325,0.2451946444931895,0.28990015360983107,0.4299719887955182,0.7657534246575343,24,484,1653,29,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_sd_deseasonalized_trend_7 > t2,6,0.2537861046057767,0.2291998491563613,0.35856735856735855,0.3317752100840336,0.823744292237443,18,351,1786,35,6
