Method,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Accuracy,Precision,Recall,F1_Score
Single Rule (Best: swh_max_swan),382,230,1707,238,0.817,0.624,0.616,0.62
Multi-Rule (double_AND): anom_swh_p80_swan & anom_swh_max_swan,398,397,1540,222,0.758,0.501,0.642,0.563
Machine Learning (Full Dataset CV),413,338,1599,207,0.787,0.55,0.666,0.602
