rule_idx,rule_name,rule_type,complexity,n_folds_successful,accuracy_mean,precision_mean,recall_mean,f1_mean,accuracy_std,precision_std,recall_std,f1_std,feature,feature1,feature2,thresholds_fold_0,thresholds_fold_1,thresholds_fold_2,thresholds_fold_3,thresholds_fold_4,thresholds_fold_5,thresholds_mean
694,(anom_swh_max_abs_change_14_swan > t1) OR (swh_max_rel_change_5_swan > t2),or,2,6,0.7264840182648401,0.46495256964280346,0.7114385151021528,0.5606532544953443,0.0421008528195781,0.03869530073853301,0.054452883019974634,0.032974152639776724,anom_swh_max_abs_change_14_swan + swh_max_rel_change_5_swan,anom_swh_max_abs_change_14_swan,swh_max_rel_change_5_swan,anom_swh_max_abs_change_14:0.1477 | swh_max_rel_change_5:33.0277,anom_swh_max_abs_change_14:0.1292 | swh_max_rel_change_5:42.4225,anom_swh_max_abs_change_14:0.5429 | swh_max_rel_change_5:7.8794,anom_swh_max_abs_change_14:0.3575 | swh_max_rel_change_5:26.0093,anom_swh_max_abs_change_14:0.6872 | swh_max_rel_change_5:7.8299,anom_swh_max_abs_change_14:0.6788 | swh_max_rel_change_5:25.9436,anom_swh_max_abs_change_14:0.4239 | swh_max_rel_change_5:23.8521
609,(swh_max_ma_3_swan > t1) AND (swh_max_trend_5_swan > t2),and,2,6,0.769406392694064,0.5241018894931043,0.6044709929543203,0.5606030541851886,0.04764857139076234,0.06855406845692574,0.0874790233392689,0.07454513924013716,swh_max_ma_3_swan + swh_max_trend_5_swan,swh_max_ma_3_swan,swh_max_trend_5_swan,swh_max_ma_3:1.99 | swh_max_trend_5:-0.008,swh_max_ma_3:1.8483 | swh_max_trend_5:0.001,swh_max_ma_3:1.8608 | swh_max_trend_5:-0.001,swh_max_ma_3:1.8675 | swh_max_trend_5:0.0019,swh_max_ma_3:1.8783 | swh_max_trend_5:0.0012,swh_max_ma_3:1.9677 | swh_max_trend_5:0.0009,swh_max_ma_3:1.9021 | swh_max_trend_5:-0.0007
58,(anom_swh_max_abs_change_14_swan > t1) AND (swh_max_ma_2_swan > t2),and,2,6,0.7739726027397261,0.5498359438666182,0.5799798694865143,0.5604684374402287,0.05171119476212841,0.08008090533031444,0.04308149399971374,0.042657923393774326,anom_swh_max_abs_change_14_swan + swh_max_ma_2_swan,anom_swh_max_abs_change_14_swan,swh_max_ma_2_swan,anom_swh_max_abs_change_14:0.0265 | swh_max_ma_2:1.967,anom_swh_max_abs_change_14:-0.0211 | swh_max_ma_2:1.8406,anom_swh_max_abs_change_14:0.3449 | swh_max_ma_2:1.855,anom_swh_max_abs_change_14:-0.0246 | swh_max_ma_2:2.125,anom_swh_max_abs_change_14:-0.0116 | swh_max_ma_2:1.87,anom_swh_max_abs_change_14:-0.0168 | swh_max_ma_2:2.1034,anom_swh_max_abs_change_14:0.0496 | swh_max_ma_2:1.9602
419,(anom_swh_max_swan > t1) AND (swh_max_abs_change_5_swan > t2),and,2,6,0.7808219178082192,0.5862375751476726,0.5648728908428486,0.5604290142994096,0.05488576877193324,0.11008797958330484,0.10733465802389788,0.052609251041714544,anom_swh_max_swan + swh_max_abs_change_5_swan,anom_swh_max_swan,swh_max_abs_change_5_swan,anom_swh_max:0.1343 | swh_max_abs_change_5:0.0413,anom_swh_max:0.2055 | swh_max_abs_change_5:0.15,anom_swh_max:0.3278 | swh_max_abs_change_5:0.14,anom_swh_max:0.2229 | swh_max_abs_change_5:0.0175,anom_swh_max:0.1242 | swh_max_abs_change_5:0.0175,anom_swh_max:0.2148 | swh_max_abs_change_5:0.6775,anom_swh_max:0.2049 | swh_max_abs_change_5:0.174
818,(anom_swh_max_ma_14_swan > t1) OR (swh_max_ma_2_swan > t2),or,2,6,0.7246575342465752,0.47138364835862473,0.7093749396773997,0.5604106175424214,0.0706642212412544,0.05662337187112704,0.10812224014560767,0.04977699286492358,anom_swh_max_ma_14_swan + swh_max_ma_2_swan,anom_swh_max_ma_14_swan,swh_max_ma_2_swan,anom_swh_max_ma_14:0.3487 | swh_max_ma_2:2.2765,anom_swh_max_ma_14:0.3552 | swh_max_ma_2:1.8406,anom_swh_max_ma_14:0.376 | swh_max_ma_2:1.9675,anom_swh_max_ma_14:0.3896 | swh_max_ma_2:2.125,anom_swh_max_ma_14:0.3866 | swh_max_ma_2:1.87,anom_swh_max_ma_14:0.3916 | swh_max_ma_2:2.1034,anom_swh_max_ma_14:0.3746 | swh_max_ma_2:2.0305
841,(anom_swh_max_ma_2_swan > t1) OR (anom_swh_max_trend_5_swan > t2),or,2,6,0.7557077625570776,0.5146561483129358,0.6299004488329752,0.5602513126627301,0.050849213378368896,0.09143910174184822,0.0518066388579393,0.04456260552512654,anom_swh_max_ma_2_swan + anom_swh_max_trend_5_swan,anom_swh_max_ma_2_swan,anom_swh_max_trend_5_swan,anom_swh_max_ma_2:0.2324 | anom_swh_max_trend_5:0.1802,anom_swh_max_ma_2:0.3581 | anom_swh_max_trend_5:0.0887,anom_swh_max_ma_2:0.6332 | anom_swh_max_trend_5:0.103,anom_swh_max_ma_2:0.2222 | anom_swh_max_trend_5:0.1345,anom_swh_max_ma_2:0.623 | anom_swh_max_trend_5:0.065,anom_swh_max_ma_2:0.5119 | anom_swh_max_trend_5:0.109,anom_swh_max_ma_2:0.4301 | anom_swh_max_trend_5:0.1134
901,(anom_swh_max_ma_5_swan > t1) OR (swh_max_abs_change_3_swan > t2),or,2,6,0.7479452054794521,0.49687632396939624,0.6552548125124339,0.5599746960531912,0.049995308468204554,0.07872209172672645,0.09144779790879358,0.05855289320822109,anom_swh_max_ma_5_swan + swh_max_abs_change_3_swan,anom_swh_max_ma_5_swan,swh_max_abs_change_3_swan,anom_swh_max_ma_5:0.2362 | swh_max_abs_change_3:0.7268,anom_swh_max_ma_5:0.5061 | swh_max_abs_change_3:0.25,anom_swh_max_ma_5:0.5176 | swh_max_abs_change_3:0.3975,anom_swh_max_ma_5:0.5206 | swh_max_abs_change_3:0.4,anom_swh_max_ma_5:0.4535 | swh_max_abs_change_3:0.1125,anom_swh_max_ma_5:0.5235 | swh_max_abs_change_3:0.4225,anom_swh_max_ma_5:0.4596 | swh_max_abs_change_3:0.3849
1073,(anom_swh_max_trend_14_swan > t1) OR (swh_max_ma_2_swan > t2),or,2,6,0.7146118721461187,0.45440831246607094,0.7361736077872129,0.5597969121299003,0.05756504213151497,0.05960324231614475,0.06110413739648795,0.05183869709713345,anom_swh_max_trend_14_swan + swh_max_ma_2_swan,anom_swh_max_trend_14_swan,swh_max_ma_2_swan,anom_swh_max_trend_14:0.0438 | swh_max_ma_2:1.967,anom_swh_max_trend_14:0.0378 | swh_max_ma_2:1.8406,anom_swh_max_trend_14:0.0487 | swh_max_ma_2:2.1125,anom_swh_max_trend_14:0.0496 | swh_max_ma_2:1.9788,anom_swh_max_trend_14:0.0515 | swh_max_ma_2:1.87,anom_swh_max_trend_14:0.0516 | swh_max_ma_2:2.1034,anom_swh_max_trend_14:0.0472 | swh_max_ma_2:1.9787
1191,(swh_max_abs_change_7_swan > t1) OR (swh_max_ma_14_swan > t2),or,2,6,0.7159817351598173,0.47046856973863366,0.7175072534849227,0.559785220939927,0.07816092588412646,0.0488939723421943,0.10469299855791536,0.015375580324672183,swh_max_abs_change_7_swan + swh_max_ma_14_swan,swh_max_abs_change_7_swan,swh_max_ma_14_swan,swh_max_abs_change_7:0.6157 | swh_max_ma_14:2.2239,swh_max_abs_change_7:0.151 | swh_max_ma_14:2.2386,swh_max_abs_change_7:0.5632 | swh_max_ma_14:2.0851,swh_max_abs_change_7:0.0125 | swh_max_ma_14:2.2807,swh_max_abs_change_7:0.1425 | swh_max_ma_14:2.2249,swh_max_abs_change_7:0.5825 | swh_max_ma_14:2.1302,swh_max_abs_change_7:0.3446 | swh_max_ma_14:2.1972
1159,(swh_max_abs_change_14_swan > t1) OR (swh_max_trend_7_swan > t2),or,2,6,0.7433789954337899,0.49227317925446606,0.6646464020482438,0.5595422561904398,0.05001198747065959,0.07597327155118815,0.06577126915811533,0.05017131223527883,swh_max_abs_change_14_swan + swh_max_trend_7_swan,swh_max_abs_change_14_swan,swh_max_trend_7_swan,swh_max_abs_change_14:0.41 | swh_max_trend_7:0.0999,swh_max_abs_change_14:0.0237 | swh_max_trend_7:0.0805,swh_max_abs_change_14:0.677 | swh_max_trend_7:0.0754,swh_max_abs_change_14:0.463 | swh_max_trend_7:0.0812,swh_max_abs_change_14:0.4815 | swh_max_trend_7:0.0967,swh_max_abs_change_14:0.3719 | swh_max_trend_7:0.081,swh_max_abs_change_14:0.4045 | swh_max_trend_7:0.0858
