rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,swh_max_swan > threshold,6,0.6546916059239819,0.06437552007410122,0.5947327176223942,0.7371970549767868,0.8100456621004567,407,281,1367,135,6
single,swh_p80_swan > threshold,6,0.6543148599104879,0.06799956034230167,0.60564518614654,0.7282922318935355,0.8114155251141552,405,276,1372,137,6
or_2,anom_swh_p80_trend_3 > t1 OR swh_p80_swan > t2,6,0.622471135159431,0.056781810752148554,0.513367606229192,0.8142960270468484,0.7547945205479453,450,445,1203,92,6
