type,description,f1_score,mean_loss,zero_prob
triple_AND,swh_max_swan AND swh_p80_swan AND anom_swh_max_waverys,0.5905797101449275,352360.02964285715,0.0
triple_AND_OR,swh_max_swan AND swh_p80_swan OR anom_swh_p80_waverys,0.5802603036876355,416809.42714285717,0.0
