run_name,exceedance_probability,tp_loss,return_period
run_g10,1.0,1381800,1.0
run_g10,0.999,1539720,1.001001001001001
run_g10,0.998,1539720,1.002004008016032
run_g10,0.997,1579200,1.0030090270812437
run_g10,0.996,1618680,1.0040160642570282
run_g10,0.995,1737120,1.0050251256281406
run_g10,0.994,1776600,1.0060362173038229
run_g10,0.993,1934520,1.0070493454179255
run_g10,0.992,2013480,1.0080645161290323
run_g10,0.991,2013480,1.0090817356205852
run_g10,0.99,2052960,1.0101010101010102
run_g10,0.989,2052960,1.0111223458038423
run_g10,0.988,2052960,1.0121457489878543
run_g10,0.987,2052960,1.0131712259371835
run_g10,0.986,2052960,1.0141987829614605
run_g10,0.985,2052960,1.015228426395939
run_g10,0.984,2052960,1.016260162601626
run_g10,0.983,2092440,1.017293997965412
run_g10,0.982,2092440,1.0183299389002036
run_g10,0.981,2092440,1.019367991845056
run_g10,0.98,2131920,1.0204081632653061
run_g10,0.979,2131920,1.0214504596527068
run_g10,0.978,2131920,1.0224948875255624
run_g10,0.977,2131920,1.0235414534288638
run_g10,0.976,2131920,1.0245901639344261
run_g10,0.975,2131920,1.0256410256410258
run_g10,0.974,2171400,1.026694045174538
run_g10,0.973,2171400,1.027749229188078
run_g10,0.972,2171400,1.02880658436214
run_g10,0.971,2171400,1.0298661174047374
run_g10,0.97,2171400,1.0309278350515465
run_g10,0.969,2171400,1.0319917440660475
run_g10,0.968,2171400,1.0330578512396695
run_g10,0.967,2171400,1.0341261633919339
run_g10,0.966,2210880,1.0351966873706004
run_g10,0.965,2210880,1.0362694300518136
run_g10,0.964,2210880,1.037344398340249
run_g10,0.963,2210880,1.0384215991692627
run_g10,0.962,2210880,1.0395010395010396
run_g10,0.961,2210880,1.040582726326743
run_g10,0.96,2210880,1.0416666666666667
run_g10,0.959,2210880,1.0427528675703859
run_g10,0.958,2210880,1.0438413361169103
run_g10,0.957,2250360,1.044932079414838
run_g10,0.956,2250360,1.0460251046025104
run_g10,0.955,2250360,1.0471204188481675
run_g10,0.954,2250360,1.0482180293501049
run_g10,0.953,2250360,1.0493179433368311
run_g10,0.952,2250360,1.050420168067227
run_g10,0.951,2250360,1.0515247108307046
run_g10,0.95,2250360,1.0526315789473684
run_g10,0.949,2250360,1.053740779768177
run_g10,0.948,2289840,1.0548523206751055
run_g10,0.947,2289840,1.0559662090813096
run_g10,0.946,2289840,1.0570824524312896
run_g10,0.945,2289840,1.0582010582010584
run_g10,0.944,2289840,1.0593220338983051
run_g10,0.943,2289840,1.0604453870625663
run_g10,0.942,2289840,1.0615711252653928
run_g10,0.941,2289840,1.0626992561105209
run_g10,0.94,2289840,1.0638297872340425
run_g10,0.939,2289840,1.0649627263045793
run_g10,0.938,2329320,1.0660980810234542
run_g10,0.937,2329320,1.0672358591248665
run_g10,0.936,2329320,1.0683760683760684
run_g10,0.935,2329320,1.06951871657754
run_g10,0.934,2329320,1.070663811563169
run_g10,0.933,2329320,1.0718113612004287
run_g10,0.932,2329320,1.0729613733905579
run_g10,0.931,2329320,1.0741138560687433
run_g10,0.93,2329320,1.075268817204301
run_g10,0.929,2329320,1.0764262648008611
run_g10,0.928,2329320,1.0775862068965516
run_g10,0.927,2329320,1.0787486515641855
run_g10,0.926,2329320,1.079913606911447
run_g10,0.925,2329320,1.081081081081081
run_g10,0.924,2368800,1.0822510822510822
run_g10,0.923,2368800,1.0834236186348862
run_g10,0.922,2368800,1.0845986984815619
run_g10,0.921,2368800,1.0857763300760044
run_g10,0.92,2368800,1.0869565217391304
run_g10,0.919,2368800,1.088139281828074
run_g10,0.918,2368800,1.0893246187363834
run_g10,0.917,2368800,1.0905125408942202
run_g10,0.916,2368800,1.0917030567685588
run_g10,0.915,2368800,1.0928961748633879
run_g10,0.914,2408280,1.0940919037199124
run_g10,0.913,2408280,1.095290251916758
run_g10,0.912,2408280,1.0964912280701753
run_g10,0.911,2408280,1.097694840834248
run_g10,0.91,2408280,1.0989010989010988
run_g10,0.909,2408280,1.1001100110011002
run_g10,0.908,2408280,1.1013215859030836
run_g10,0.907,2408280,1.1025358324145533
run_g10,0.906,2408280,1.1037527593818983
run_g10,0.905,2408280,1.1049723756906078
run_g10,0.904,2408280,1.1061946902654867
run_g10,0.903,2408280,1.1074197120708749
run_g10,0.902,2447760,1.1086474501108647
run_g10,0.901,2447760,1.1098779134295227
run_g10,0.9,2447760,1.1111111111111112
run_g10,0.899,2447760,1.1123470522803114
run_g10,0.898,2447760,1.1135857461024499
run_g10,0.897,2447760,1.1148272017837235
run_g10,0.896,2447760,1.1160714285714286
run_g10,0.895,2447760,1.1173184357541899
run_g10,0.894,2447760,1.1185682326621924
run_g10,0.893,2447760,1.1198208286674132
run_g10,0.892,2447760,1.1210762331838564
run_g10,0.891,2447760,1.122334455667789
run_g10,0.89,2447760,1.1235955056179776
run_g10,0.889,2447760,1.124859392575928
run_g10,0.888,2447760,1.1261261261261262
run_g10,0.887,2447760,1.1273957158962795
run_g10,0.886,2447760,1.1286681715575622
run_g10,0.885,2447760,1.1299435028248588
run_g10,0.884,2447760,1.1312217194570136
run_g10,0.883,2447760,1.1325028312570782
run_g10,0.882,2487240,1.1337868480725624
run_g10,0.881,2487240,1.1350737797956867
run_g10,0.88,2487240,1.1363636363636365
run_g10,0.879,2487240,1.1376564277588168
run_g10,0.878,2487240,1.1389521640091116
run_g10,0.877,2487240,1.1402508551881414
run_g10,0.876,2487240,1.1415525114155252
run_g10,0.875,2487240,1.1428571428571428
run_g10,0.874,2487240,1.1441647597254005
run_g10,0.873,2487240,1.145475372279496
run_g10,0.872,2487240,1.146788990825688
run_g10,0.871,2487240,1.148105625717566
run_g10,0.87,2487240,1.1494252873563218
run_g10,0.869,2487240,1.1507479861910241
