exceedance_probability,aggregate_tp_loss,return_period
0.001,31231930.752000008,1000.0
0.0010092715146305,568512.0,990.8136566859371
0.0010186289902446,568512.0,981.7117022753037
0.0010280732238308,568512.0,972.6933615426791
0.0010376050197669,568512.0,963.7578663841199
0.0010472251898884,568512.0,954.90445575184
0.0010569345535579,568512.0,946.1323755891559
0.0010667339377348,568512.0,937.4408787663501
0.0010766241770454,568512.0,928.8292250173304
0.0010866061138545,568512.0,920.296680876124
0.0010966805983368,568512.0,911.8425196147141
0.0011068484885494,568512.0,903.4660211810632
0.0011171106505048,568512.0,895.1664721378496
0.0011274679582449,568512.0,886.9431656015076
0.0011379212939153,568512.0,878.7954011821437
0.0011484715478402,568512.0,870.7224849240597
0.0011591196185988,568512.0,862.7237292462089
0.0011698664131013,568512.0,854.7984528840465
0.0011807128466661,568512.0,846.9459808315232
0.0011916598430985,568512.0,839.1656442830575
0.0012027083347685,568512.0,831.4567805772147
0.0012138592626906,568512.0,823.8187331399797
0.0012251135766041,568512.0,816.2508514287355
0.0012364722350537,568512.0,808.7524908770556
0.0012479362054713,568512.0,801.323012839696
0.0012595064642583,568512.0,793.9617845382646
0.001271183996869,568512.0,786.668179007176
0.0012829697978941,568512.0,779.441575040524
0.0012948648711459,568512.0,772.2813571388672
0.0013068702297433,568512.0,765.1869154571096
0.0013189868961986,568512.0,758.1576457522516
0.0013312159025043,568512.0,751.1929493321012
0.0013435582902208,568512.0,744.2922330043904
0.0013560151105656,568512.0,737.4549090259735
0.0013685874245025,568512.0,730.6803950529601
0.001381276302832,568512.0,723.9681140910926
0.0013940828262825,568512.0,717.3174944466017
0.0014070080856026,568512.0,710.7279696773849
0.0014200531816536,568512.0,704.19897854497
0.0014332192255035,568512.0,697.7299649665897
0.0014465073385216,568512.0,691.3203779678353
0.0014599186524739,568512.0,684.9696716357817
0.0014734543096198,568512.0,678.677305072346
0.0014871154628089,568512.0,672.4427423484493
0.0015009032755797,568512.0,666.2654524581312
0.0015148189222583,568512.0,660.1449092735089
0.0015288635880587,568512.0,654.0805914998385
0.0015430384691835,568512.0,648.0719826312242
0.0015573447729261,568512.0,642.1185709064903
0.0015717837177731,568512.0,636.2198492657743
0.0015863565335085,568512.0,630.3753153071638
0.0016010644613183,568512.0,624.5844712439687
0.0016159087538959,568512.0,618.8468238624456
0.0016308906755493,568512.0,613.1618844795897
0.0016460115023085,568512.0,607.529168901626
0.0016612725220342,568512.0,601.9481973827611
0.0016766750345277,568512.0,596.4184945842463
0.001692220351641,568512.0,590.93958953411
0.0017079097973894,568512.0,585.5110155867336
0.0017237447080636,568512.0,580.1323103833445
0.0017397264323438,568512.0,574.8030158125359
0.0017558563314144,568512.0,569.5226779713048
0.0017721357790803,568512.0,564.2908471262729
0.0017885661618834,568512.0,559.1070776755486
0.0018051488792211,568512.0,553.9709281106432
0.0018218853434651,568512.0,548.8819609789874
0.0018387769800823,568512.0,543.8397428464881
0.0018558252277555,568512.0,538.8438442608278
0.0018730315385064,568512.0,533.8938397147459
0.0018903973778192,568512.0,528.9893076098211
0.0019079242247652,568512.0,524.1298302206241
0.0019256135721291,568512.0,519.3149936590478
0.001943466926536,568512.0,514.5443878390982
0.0019614858085794,568512.0,509.81760644205065
0.0019796717529513,568512.0,505.134246881685
0.0019980263085725,568512.0,500.493910270108
0.002,29755728.0,500.0
0.0020165510387247,568512.0,495.89620138373306
0.0020352475211835,568512.0,491.34072862965496
0.002054117348353,568512.0,486.82710401224364
0.0020731621274012,568512.0,482.35494310015395
0.0020923834803969,568512.0,477.9238649935776
0.0021117830444482,568512.0,473.5334922917216
0.0021313624718414,568512.0,469.1834510607882
0.0021511234301821,568512.0,464.8733708020402
0.0021710676025372,568512.0,460.6028844202541
0.0021911966875781,568512.0,456.3716281924862
0.0022115123997254,568512.0,452.1792417370883
0.0022320164692952,568512.0,448.02536798295597
0.0022527106426459,568512.0,443.909653139233
0.0022735966823277,568512.0,439.8317466650257
0.0022946763672319,568512.0,435.7913012397098
0.0023159514927431,568512.0,431.7879727332123
0.0023374238708918,568512.0,427.82142017676443
0.0023590953305086,568512.0,423.8913057338844
0.0023809677173803,568512.0,419.9972946715409
0.0024030428944069,568512.0,416.13905533168275
0.0024253227417603,568512.0,412.31625910298425
0.0024478091570444,568512.0,408.52858039286326
0.0024705040554568,568512.0,404.7756965997364
0.0024934093699518,568512.0,401.05728808556256
0.0025165270514053,568512.0,397.37303814857535
0.0025398590687807,568512.0,393.72263299635205
0.0025634074092965,568512.0,390.1057617191016
0.0025871740785959,568512.0,386.52211626312976
0.0026111611009174,568512.0,382.9713914046368
0.0026353705192673,568512.0,379.45328472370767
0.0026598043955937,568512.0,375.967496578555
0.0026844648109619,568512.0,372.51373008003
0.002709353865732,568512.0,369.0916910662849
0.0027344736797375,568512.0,365.70108807776
0.0027598263924661,568512.0,362.34163233232556
0.0027854141632417,568512.0,359.0130377007157
0.0028112391714084,568512.0,355.7150206821467
0.0028373036165162,568512.0,352.44730038016024
0.0028636097185081,568512.0,349.2095984787291
0.0028901597179095,568512.0,346.0016392185123
0.0029169558760187,568512.0,342.82314937340834
0.0029440004751,568512.0,339.67385822722485
0.0029712958185773,568512.0,336.5534975507133
0.002998844231231,568512.0,333.46180157863967
0.003,28823916.0,333.3333333333333
0.0030266480593956,568512.0,330.3985069871959
0.0030547096711599,568512.0,327.3633528715321
0.0030830314565682,568512.0,324.35608072358923
0.0031116158278243,568512.0,321.3764344100341
0.0031404652194967,568512.0,318.4241601504706
0.0031695820887261,568512.0,315.49900649581036
