Method,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Accuracy,Precision,Recall,F1_Score
Single Rule (Best: anom_swh_mean_waverys),69,199,2095,201,0.844,0.257,0.256,0.257
Multi-Rule (double_AND): anom_swh_p80_swan & anom_swh_max_swan,128,560,1734,142,0.726,0.186,0.474,0.267
Machine Learning (Full Dataset CV),95,409,1885,175,0.772,0.188,0.352,0.245
