combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob
14,double_AND,anom_swh_min_waverys > t1 AND anom_swh_p80_swan > t2,"['anom_swh_min_waverys', 'anom_swh_p80_swan']","(np.float64(-0.04634960937499997), np.float64(0.14617807558333323))",0.26814516129032256,3237740.6657357137,4674081.028571428,0.0
10,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_mean_persistence_2 > t2,"['anom_swh_mean_waverys', 'anom_swh_mean_persistence_2']","(np.float64(0.0578437499999999), np.float64(0.07683245225000006))",0.27345309381237526,3287631.743471428,4895152.428571427,0.0
16,double_AND,anom_swh_min_waverys > t1 AND anom_swh_mean_swan > t2,"['anom_swh_min_waverys', 'anom_swh_mean_swan']","(np.float64(-0.04634960937499997), np.float64(0.07957642184895836))",0.2782608695652174,3426606.6999999993,4926734.057142856,0.0
0,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_min_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_min_waverys']","(np.float64(0.0578437499999999), np.float64(-0.04634960937499997))",0.27153558052434457,3576595.749492856,5116223.828571427,0.0
8,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_median > t2,"['anom_swh_mean_waverys', 'anom_swh_median']","(np.float64(0.0578437499999999), np.float64(0.07597226458333345))",0.2759259259259259,3634248.012449999,5210968.714285714,0.0
4,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_mean_swan > t2,"['anom_swh_mean_waverys', 'anom_swh_mean_swan']","(np.float64(0.0578437499999999), np.float64(0.07957642184895836))",0.27490774907749077,3654144.438449999,5242550.342857143,0.0
18,double_AND,anom_swh_min_waverys > t1 AND swh_max_swan > t2,"['anom_swh_min_waverys', 'swh_max_swan']","(np.float64(-0.04634960937499997), np.float64(1.14))",0.261986301369863,4023341.5718571413,5684693.14285714,0.0
17,double_OR,anom_swh_min_waverys > t1 OR anom_swh_mean_swan > t2,"['anom_swh_min_waverys', 'anom_swh_mean_swan']","(np.float64(0.33135937499999996), np.float64(0.07957642184895836))",0.2688356164383562,4028268.305914284,5558366.628571426,0.0
13,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_p75 > t2,"['anom_swh_mean_waverys', 'anom_swh_p75']","(np.float64(0.0578437499999999), np.float64(0.5659548733854166))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
12,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_p75 > t2,"['anom_swh_mean_waverys', 'anom_swh_p75']","(np.float64(0.0578437499999999), np.float64(-0.38824657003124996))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
11,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_mean_persistence_2 > t2,"['anom_swh_mean_waverys', 'anom_swh_mean_persistence_2']","(np.float64(0.0578437499999999), np.float64(0.42649911210416636))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
9,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_median > t2,"['anom_swh_mean_waverys', 'anom_swh_median']","(np.float64(0.0578437499999999), np.float64(0.4775382108593749))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
6,double_AND,anom_swh_mean_waverys > t1 AND swh_max_swan > t2,"['anom_swh_mean_waverys', 'swh_max_swan']","(np.float64(0.0578437499999999), np.float64(1.14))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
5,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_mean_swan > t2,"['anom_swh_mean_waverys', 'anom_swh_mean_swan']","(np.float64(0.0578437499999999), np.float64(0.47050340963541637))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
3,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_p80_swan > t2,"['anom_swh_mean_waverys', 'anom_swh_p80_swan']","(np.float64(0.0578437499999999), np.float64(0.584493017906249))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
2,double_AND,anom_swh_mean_waverys > t1 AND anom_swh_p80_swan > t2,"['anom_swh_mean_waverys', 'anom_swh_p80_swan']","(np.float64(0.0578437499999999), np.float64(-0.3808538021302083))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
1,double_OR,anom_swh_mean_waverys > t1 OR anom_swh_min_waverys > t2,"['anom_swh_mean_waverys', 'anom_swh_min_waverys']","(np.float64(0.0578437499999999), np.float64(0.33135937499999996))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
7,double_OR,anom_swh_mean_waverys > t1 OR swh_max_swan > t2,"['anom_swh_mean_waverys', 'swh_max_swan']","(np.float64(0.0578437499999999), np.float64(2.3194999899999997))",0.2705479452054795,4029950.027635713,5653111.5142857125,0.0
15,double_OR,anom_swh_min_waverys > t1 OR anom_swh_p80_swan > t2,"['anom_swh_min_waverys', 'anom_swh_p80_swan']","(np.float64(0.33135937499999996), np.float64(0.14617807558333323))",0.26712328767123283,4031742.2850571414,5684693.142857143,0.0
19,double_OR,anom_swh_min_waverys > t1 OR swh_max_swan > t2,"['anom_swh_min_waverys', 'swh_max_swan']","(np.float64(-0.04634960937499997), np.float64(2.3194999899999997))",0.2627118644067797,4077646.1821857127,5779438.028571425,0.0
