type,description,f1_score,mean_loss,zero_prob
triple_AND,anom_swh_mean_waverys AND anom_swh_min_waverys AND anom_swh_p80_swan,0.26147426981919336,5254235.545428569,0.0
triple_AND_OR,anom_swh_mean_waverys AND anom_swh_min_waverys OR anom_swh_mean_swan,0.24871134020618554,5769331.90742857,0.0
