analysis_type,description,f1_score,mean_loss,improvement_vs_single
single_rule,anom_swh_mean_waverys > 0.1727,0.2696897374701671,2558269.822428571,0.0
multi_rule_top_1,anom_swh_min_waverys > t1 AND anom_swh_p80_swan > t2,0.26814516129032256,3237740.6657357137,-26.559780260477744
multi_rule_top_2,anom_swh_mean_waverys > t1 AND anom_swh_mean_persistence_2 > t2,0.27345309381237526,3287631.743471428,-28.509968520461687
multi_rule_top_3,anom_swh_min_waverys > t1 AND anom_swh_mean_swan > t2,0.2782608695652174,3426606.6999999993,-33.94234923770137
