feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
swh_p80_deseasonalized_detrended_std_7d,6.174793512258966,3,0.6,"extra_trees, mutual_info, domain_selection",33,58.333333333333336
swh_sd_deseasonalized_detrended_mean_7d,6.168189187556785,3,0.6,"random_forest, extra_trees, mutual_info",9,46.666666666666664
anom_swh_p80_deseasonalized_detrended_lag_1d,6.164822369804987,3,0.6,"random_forest, extra_trees, domain_selection",6,82.66666666666667
swh_range_deseasonalized_detrended,6.150285299932731,4,0.8,"random_forest, extra_trees, f_test, domain_selection",44,111.0
anom_swh_sd_deseasonalized_detrended_lag_3d,6.078911585331874,3,0.6,"random_forest, extra_trees, domain_selection",60,65.0
anom_swh_sd_deseasonalized_detrended_max_5d,6.020368341096737,3,0.6,"random_forest, extra_trees, domain_selection",33,65.66666666666667
swh_p75_deseasonalized_detrended_lag_3d,5.9800360694706605,3,0.6,"random_forest, extra_trees, domain_selection",34,75.33333333333333
swh_range_deseasonalized_detrended_mean_5d,5.945831652842079,3,0.6,"random_forest, extra_trees, domain_selection",34,69.33333333333333
anom_swh_max_deseasonalized_detrended_max_14d,5.87341267612888,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",71,133.5
swh_p80_deseasonalized_detrended_lag_3d,5.873158993615139,3,0.6,"random_forest, extra_trees, domain_selection",45,78.33333333333333
anom_swh_p25_deseasonalized_detrended_std_7d,5.843509917372028,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",86,139.75
clima_swh_mean_deseasonalized_detrended_lag_7d,5.833982870607795,3,0.6,"random_forest, extra_trees, mutual_info",8,68.0
anom_swh_sd_deseasonalized_detrended_max_3d,5.789134249680569,3,0.6,"random_forest, extra_trees, domain_selection",16,78.33333333333333
anom_swh_p25_deseasonalized_detrended_std_2d,5.779809859815648,4,0.8,"random_forest, extra_trees, f_test, domain_selection",109,130.25
swh_range_deseasonalized_detrended_lag_5d,5.775812736468693,3,0.6,"random_forest, extra_trees, domain_selection",55,77.66666666666667
anom_swh_p80_deseasonalized_detrended_lag_14d,5.685441485338285,3,0.6,"extra_trees, mutual_info, domain_selection",3,94.66666666666667
swh_iqr_deseasonalized_detrended_lag_5d,5.639278491786107,3,0.6,"random_forest, extra_trees, domain_selection",51,82.33333333333333
swh_sd_deseasonalized_detrended_max_7d,5.63557427541305,3,0.6,"random_forest, extra_trees, mutual_info",21,65.0
swh_p80_deseasonalized_detrended_mean_5d,5.616301083766925,3,0.6,"random_forest, extra_trees, domain_selection",68,80.0
swh_sd_deseasonalized_detrended_std_7d,5.591177338734642,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",88,138.75
swh_mean_swan,5.586803206333759,3,0.6,"extra_trees, mutual_info, f_test",1,48.0
anom_swh_max_deseasonalized_detrended_max_7d,5.584812464589557,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",102,146.0
anom_swh_sd_deseasonalized_detrended_min_2d,5.563978327378588,4,0.8,"random_forest, extra_trees, f_test, domain_selection",107,135.5
anom_swh_p75_deseasonalized_detrended_min_3d,5.509813538753282,3,0.6,"random_forest, extra_trees, domain_selection",29,99.66666666666667
swh_max_deseasonalized_detrended_lag_14d,5.501339883535077,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",89,145.75
anom_swh_min_deseasonalized_detrended_std_2d,5.450397666936631,3,0.6,"random_forest, f_test, domain_selection",53,89.66666666666667
anom_swh_p75_deseasonalized_detrended_min_2d,5.439869579008862,3,0.6,"random_forest, f_test, domain_selection",44,93.33333333333333
anom_swh_p80_deseasonalized_detrended_mean_2d,5.439796559064149,3,0.6,"random_forest, f_test, domain_selection",39,94.66666666666667
anom_swh_sd_swan,5.437934440781097,3,0.6,"random_forest, f_test, domain_selection",18,79.66666666666667
anom_swh_max_deseasonalized_detrended_mean_5d,5.414100324650193,3,0.6,"random_forest, extra_trees, domain_selection",79,88.66666666666667
swh_iqr_swan,5.362278344892897,3,0.6,"random_forest, extra_trees, f_test",25,58.333333333333336
swh_p75_deseasonalized_detrended_mean_5d,5.3349564119007615,3,0.6,"random_forest, extra_trees, domain_selection",31,93.33333333333333
anom_swh_median_deseasonalized_detrended_lag_1d,5.317499879431932,3,0.6,"random_forest, extra_trees, domain_selection",57,106.0
anom_swh_p80_deseasonalized_detrended_max_3d,5.280638771362523,3,0.6,"random_forest, extra_trees, domain_selection",25,117.33333333333333
anom_swh_mean_deseasonalized_detrended_mean_5d,5.2643719244977705,3,0.6,"random_forest, extra_trees, domain_selection",43,97.33333333333333
swh_p75_deseasonalized_detrended_std_7d,5.258721697894162,3,0.6,"extra_trees, mutual_info, domain_selection",43,101.0
anom_swh_median_deseasonalized_detrended_max_7d,5.2407214820706685,3,0.6,"random_forest, mutual_info, domain_selection",75,102.0
swh_sd_swan,5.232715838879194,3,0.6,"random_forest, extra_trees, f_test",9,61.0
anom_swh_mean_deseasonalized_detrended_max_7d,5.170280998018966,3,0.6,"random_forest, mutual_info, domain_selection",68,107.66666666666667
