date,estimated_probability,calibrated_probability,optimal_threshold,predicted_event,observed_event,feature_set,lr_variant,cv_f1_score
2024-01-01,0.013970695264798372,0.01107793983448526,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-02,0.017428174584435515,0.014213700607905102,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-03,0.035566745934982394,0.03345511574931288,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-04,0.051291677722761116,0.05233953922515457,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-05,0.04530085073690121,0.04450304953856532,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-06,0.05550515032557933,0.05631036387005909,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-07,0.058853311422397,0.060951362790723294,0.05819999999999996,1,0,GLOBAL,L2,0.31861406163196443
2024-01-08,0.020875053095957274,0.017986215148226122,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-09,0.00865318103817968,0.006343252746346399,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-10,0.006670499184185265,0.004567163584469665,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-11,0.007659654304734536,0.005200451118794691,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-12,0.0060345460004347755,0.003898231098730491,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-01-13,0.004399946232221507,0.002683090597927241,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-14,0.005399192587786019,0.0033885338155454415,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-15,0.007276383760893653,0.004867160842673759,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-16,0.004434526624950424,0.0027175661927263278,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-17,0.003563678983674057,0.0020822788513710044,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-18,0.005841380948940601,0.0037391660906006146,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-19,0.008417949508121003,0.005878374212411255,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-20,0.009390832842156622,0.006716698695224535,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-21,0.008451375634328392,0.005845762309873557,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-22,0.011792559751624757,0.008636544388246604,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-23,0.01121451751297519,0.008152116925560018,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-24,0.009734085355829898,0.006850476370573862,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-25,0.009353009831997118,0.006506228386283436,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-26,0.00728195069603269,0.004856967561987891,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-27,0.008086663956933795,0.0054599108147215915,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-28,0.012492623279073026,0.00921918607481513,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-29,0.011897994675610021,0.008764882530280946,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-30,0.027616944480055368,0.024170936055540642,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-01-31,0.048754912456862746,0.04915892178837942,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-01,0.012916894127414738,0.00987939229853667,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-02,0.008294555057346584,0.005699442415212916,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-03,0.01812374386019143,0.01418497424087368,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-04,0.018633675904478873,0.014948546642910357,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-05,0.006416364759669026,0.004227891694781668,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-06,0.004310690568617282,0.0026347530715443352,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-07,0.006525921497599368,0.004231249510082952,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-08,0.009960323927154307,0.007052426411424929,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-09,0.01149536595978761,0.008469279682214443,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-10,0.01293799532358696,0.009724991326676235,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-11,0.013205090368198627,0.009894932868261425,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-12,0.0069992623538599145,0.0046513299210687205,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-13,0.005989330678355804,0.0038356532639134016,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-14,0.007923473386604624,0.005327675835484938,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-15,0.006931515691938606,0.004589642695349168,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-16,0.005183876573871062,0.0032447163171362065,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-17,0.009379409685834828,0.006542585385617402,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-18,0.0212424643257997,0.017939778788086686,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-19,0.017197453875812126,0.013878076633357335,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-20,0.008973498074761695,0.006230588485700153,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-21,0.005788781200227486,0.0037088349617606826,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-22,0.00795780965141562,0.005347781218898516,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-23,0.019658111993268466,0.01591107093776301,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-02-24,0.04556848032488358,0.04590922725701945,0.05819999999999996,0,1,GLOBAL,L2,0.31861406163196443
2024-02-25,0.03257342218251178,0.03023583556835228,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-26,0.02443340525783541,0.020796576221146706,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-27,0.04045396038224895,0.03768661332189226,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-28,0.021190101862453077,0.01781729749577488,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-02-29,0.006797977696741117,0.004665045485607787,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-01,0.00923685368315873,0.006437096759737234,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-02,0.026575430818239827,0.022514694335427295,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-03,0.02997536188972886,0.02684168018159833,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-04,0.009685461453071214,0.006901597097426333,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-05,0.004020983984746114,0.0024697588811103924,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-06,0.00377521887140496,0.002270769802180453,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-07,0.004450977514875316,0.002720304881612476,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-08,0.014844885021380629,0.011587606574676878,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-09,0.026399280558828682,0.024345846664479337,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-10,0.010486581098900284,0.007651547506202096,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-11,0.008267237788118506,0.005585844162435734,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-12,0.025277266769315215,0.02118594082131482,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-13,0.023870614617612387,0.020375318683609034,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-14,0.008114510041209042,0.005584910788561358,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-15,0.006196656598950741,0.004008185049564438,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-16,0.008775574839893961,0.0060239329192084655,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-17,0.02966615588808785,0.026237151586151714,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-18,0.04141122308192238,0.04073077710433964,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-19,0.0378360247127512,0.03595738511188723,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-20,0.03535101859599093,0.03245744286846417,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-21,0.013369934238184,0.010379506745521279,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-22,0.007133138264444521,0.00489639887421148,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-23,0.007394194315327625,0.005004831066721128,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-24,0.007273778328164647,0.004860327202312235,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-25,0.0049633832168924025,0.0030951394580654525,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-26,0.003373959181671917,0.0019668588680915294,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-27,0.00608723120347605,0.003907134371595888,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-28,0.01443848616606923,0.011307820876878922,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-29,0.0073911476500492556,0.005053257408247763,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-30,0.0027925676168837265,0.0015707124062666646,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-03-31,0.0020623764951346727,0.0011070389127760863,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-01,0.0028210276858542977,0.0015911132345523618,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-02,0.0033172829289380003,0.0019553324027266443,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-03,0.002860273545893067,0.0016521326383094458,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-04,0.004662651509117239,0.0029602294288537724,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-05,0.007748431569614098,0.005492621578866733,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-06,0.008258128388824981,0.0058593035281720865,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-07,0.009353817168625303,0.00665921336632781,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-08,0.018002681189417186,0.014608363000184704,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-09,0.027596709319739437,0.024675117023118722,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-10,0.0146494895689062,0.011314580330209018,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-11,0.019083387678475693,0.015207040476497923,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-12,0.018354833031326744,0.01464813279058369,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-13,0.003965215771583141,0.0024714861636529646,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-14,0.002297914906720604,0.0012864421199882123,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-15,0.008499631904114518,0.005737691126175153,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-16,0.025291274774163174,0.022644973447643293,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-17,0.01704740985288635,0.014044179280804377,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-18,0.0060597948751130596,0.003921839011402045,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-19,0.00825596885634919,0.005559266326756684,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
2024-04-20,0.01030273905626819,0.007296255432233313,0.05819999999999996,0,0,GLOBAL,L2,0.31861406163196443
