feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
anom_swh_p75_deseasonalized_detrended,11.799643671571737,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",10,35.4
anom_swh_max_swan,11.78091521718878,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",2,41.2
anom_swh_p80_swan,11.148432757585168,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",17,49.6
anom_swh_p80_deseasonalized_detrended,10.809387738616055,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",17,53.6
anom_swh_median,10.70423269712287,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",13,51.0
swh_p80_deseasonalized_detrended,10.471684940255955,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",29,55.0
anom_swh_p75_deseasonalized_detrended_max_2d,10.4678468203445,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",9,66.4
anom_swh_p25_deseasonalized_detrended,10.44763024450093,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",11,55.8
swh_p75_deseasonalized_detrended,10.307753503726845,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",36,58.2
anom_swh_p75,9.314209901512168,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",16,24.75
swh_p80_deseasonalized,9.178078978277297,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",35,82.6
anom_swh_mean_waverys,9.107182535906107,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",2,41.0
anom_swh_p75_deseasonalized_detrended_mean_2d,8.995656528364597,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",28,100.2
anom_swh_max_deseasonalized_detrended_mean_2d,8.75337979842203,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",12,99.4
anom_swh_max_deseasonalized,8.681974698592223,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",42,95.8
anom_swh_max_deseasonalized_detrended,8.437306206928538,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",9,43.5
anom_swh_median_deseasonalized_detrended,8.364056552363822,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",7,44.75
anom_swh_min_waverys,8.351569347585567,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",16,62.5
swh_max_swan,8.329838792729175,4,0.8,"random_forest, extra_trees, f_test, domain_selection",2,57.75
swh_p75_swan,8.234196651285405,4,0.8,"random_forest, extra_trees, f_test, domain_selection",7,53.75
