Method,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Accuracy,Precision,Recall,F1_Score
Single Rule (Best: anom_swh_p80_swan),28,158,2341,30,0.926,0.151,0.483,0.23
Multi-Rule (double_AND): anom_swh_min_swan & swh_max_swan,22,63,2228,28,0.961,0.259,0.44,0.326
Machine Learning (Full Dataset CV),24,85,2206,26,0.953,0.22,0.48,0.302
