rule_name,rule_type,n_folds_successful,f1_mean,precision_mean,recall_mean,accuracy_mean,f1_std,precision_std,recall_std,accuracy_std,f1_min,f1_max,f1_stability,tp_total,fp_total,tn_total,fn_total
swh_iqr_deseasonalized_detrended_mean_7d > threshold,single,6,0.11878309643255297,0.07493848527467413,0.7875992063492063,0.7155251141552511,0.10637990958985143,0.07847734267833426,0.24293603313270654,0.20005941445622213,0.015625,0.2916666666666667,1.11658282384046,32,604,1535,19
swh_cv_deseasonalized_detrended_lag_14d > threshold,single,6,0.05338550219124038,0.029123369243253493,0.48164682539682535,0.5273972602739726,0.03475332301268084,0.01944256501050707,0.33928788985657266,0.250607818066919,0.0,0.09090909090909091,1.5360823507268884,25,1009,1130,26
swh_range_deseasonalized_detrended_mean_7d > threshold,single,6,0.11943441635977604,0.07717282504264014,0.7764880952380953,0.6607305936073059,0.1072612493494577,0.08042630873332099,0.26137493757664926,0.2614302601976662,0.009216589861751152,0.2727272727272727,1.1134804377508598,31,723,1416,20
anom_swh_sd_deseasonalized_detrended_mean_14d > threshold,single,6,0.08686099385451053,0.058238302402171795,0.6426587301587302,0.7374429223744293,0.07142695358852014,0.06646071887638841,0.31428609006711544,0.16240283072358827,0.03333333333333333,0.2222222222222222,1.2160644326295074,25,549,1590,26
anom_swh_p75_deseasonalized_detrended_mean_7d > threshold,single,6,0.14074879506011903,0.08773518769890061,0.9241071428571429,0.7041095890410959,0.14635736519563508,0.10577847079374939,0.12923316809044758,0.17476789422314268,0.03389830508474576,0.4074074074074074,0.9616723640769161,44,641,1498,7
anom_swh_sd_deseasonalized_detrended_mean_7d > threshold,single,6,0.1184164943203555,0.07405736571854947,0.7763888888888889,0.6831050228310502,0.11003330291524381,0.07842204931529269,0.24835104336551667,0.232729472657736,0.00966183574879227,0.3018867924528302,1.0761779843470107,31,674,1465,20
swh_p75_deseasonalized_detrended_max_7d > threshold,single,6,0.1916327145481059,0.14776632712050597,0.6438492063492064,0.8671232876712329,0.19243677775234774,0.1718265927630901,0.30070817460391824,0.06748296143800753,0.022222222222222223,0.5263157894736842,0.9958165012418825,27,267,1872,24
anom_swh_sd_deseasonalized_detrended_lag_14d > threshold,single,6,0.06518243202769018,0.037640687356115476,0.3511904761904762,0.6721461187214611,0.048655422244925084,0.029363431478595735,0.22609647169399097,0.22327450447214559,0.0,0.11764705882352941,1.3396470398003582,21,688,1451,30
swh_p75_deseasonalized_detrended_mean_7d > threshold,single,6,0.13908800781724617,0.08627255103960886,0.9241071428571429,0.6954337899543379,0.14396565847703494,0.10310223887757948,0.12923316809044758,0.18681168356571623,0.031088082901554404,0.4,0.9661126353046043,44,660,1479,7
swh_iqr_deseasonalized_detrended_mean_5d > threshold,single,6,0.12110712319939672,0.08169320238095161,0.7728174603174603,0.7205479452054795,0.10039803334656858,0.08096065716901427,0.3088457928059536,0.22791490841858517,0.015384615384615385,0.25,1.2062578608834376,31,592,1547,20
anom_swh_p80_deseasonalized_detrended_mean_7d > threshold,single,6,0.14468454980938936,0.08925772453383303,0.9241071428571429,0.7232876712328767,0.14012747013967908,0.10116608700738432,0.12923316809044758,0.1851698109448307,0.03389830508474576,0.4,1.0325135903158638,44,599,1540,7
anom_swh_max_deseasonalized_detrended_lag_14d > threshold,single,6,0.07971400960244773,0.04592749437422101,0.6540674603174602,0.6328767123287672,0.07504312209455473,0.046471815756305136,0.274729411471704,0.2048098679364067,0.00980392156862745,0.21176470588235294,1.062228558047611,30,783,1356,21
swh_range_deseasonalized_detrended_max_7d > threshold,single,6,0.10311162027989307,0.061614796012213514,0.6171626984126984,0.6958904109589041,0.07617352364681139,0.049116843781575895,0.4077881298231239,0.17262448221395466,0.0,0.17543859649122806,1.353623433970883,30,645,1494,21
anom_swh_p80_deseasonalized_detrended_lag_3d > threshold,single,6,0.09097103628064089,0.06017975111454393,0.7783730158730159,0.5547945205479451,0.09815246026736779,0.0770363245119408,0.29672285704452933,0.24523685419540378,0.011299435028248588,0.26666666666666666,0.9268245463057324,31,955,1184,20
anom_swh_p75_deseasonalized_detrended_max_7d > threshold,single,6,0.20128286180917762,0.15314064634818345,0.6438492063492064,0.8931506849315068,0.18535393241446607,0.16784612670492557,0.30070817460391824,0.04417675478519753,0.03333333333333333,0.5263157894736842,1.0859320504031456,27,210,1929,24
anom_swh_p75_deseasonalized_detrended_lag_3d > threshold,single,6,0.09204895231511201,0.06147248316199929,0.7672619047619048,0.5721461187214613,0.10007206975311787,0.07975896437440802,0.2939909816285384,0.23538323385334425,0.012422360248447204,0.2727272727272727,0.9198174148369636,30,916,1223,21
swh_cv_deseasonalized_detrended_max_7d > threshold,single,6,0.07577574074098124,0.04238939750307905,0.5657738095238095,0.626027397260274,0.053450327765943974,0.030867258868289015,0.389450189151234,0.18858193194300849,0.0,0.12949640287769784,1.417658716969442,26,794,1345,25
anom_swe_cv > threshold,single,6,0.0757777379957831,0.04076241314060855,0.8041666666666666,0.6009132420091324,0.055021711609837,0.030098548044044056,0.2730359154234313,0.14660649180389057,0.013605442176870748,0.14130434782608695,1.3772083523094762,41,864,1275,10
anom_swh_sd_deseasonalized_detrended_max_7d > threshold,single,6,0.11031724514998602,0.0636593385047322,0.8121031746031746,0.6675799086757991,0.08271179386985233,0.05035449240353767,0.21363713575770096,0.1964722973040511,0.007936507936507936,0.19753086419753085,1.333738590955699,34,711,1428,17
anom_swh_p80_deseasonalized_detrended_mean_5d > threshold,single,6,0.14414015969551228,0.09200170365348936,0.7565476190476191,0.7936073059360731,0.140271427685173,0.10808149960871198,0.25646266961690445,0.15268576150114394,0.03636363636363636,0.40816326530612246,1.0275730025790955,37,438,1701,14
swh_p80_deseasonalized_detrended_mean_7d > threshold,single,6,0.1381157546188069,0.0852488837257969,0.9241071428571429,0.6945205479452055,0.14165288684752694,0.10053959429750971,0.12923316809044758,0.18681436221505557,0.030612244897959183,0.39285714285714285,0.9750226957589352,44,662,1477,7
swh_iqr_deseasonalized_detrended_max_7d > threshold,single,6,0.1398286529801794,0.08913647652613606,0.7936507936507936,0.7470319634703196,0.10702627157460574,0.07580843219198093,0.29801560881775535,0.16370331091299942,0.011764705882352941,0.2857142857142857,1.3064768532635977,32,535,1604,19
anom_swh_mean_deseasonalized_detrended_lag_3d > threshold,single,6,0.09657352626708164,0.06368085757537915,0.7229166666666668,0.575799086757991,0.11162414416542753,0.0852017075351347,0.2399905958805701,0.2292639452459308,0.012345679012345678,0.2978723404255319,0.8651592523272399,30,908,1231,21
anom_swh_p75_deseasonalized_detrended_mean_5d > threshold,single,6,0.14068587682879038,0.08302469135802469,0.8339285714285714,0.7666666666666667,0.13911803195547048,0.09197316262307066,0.251980533657669,0.13870068773489275,0.02564102564102564,0.4,1.0112626205868183,44,504,1635,7
anom_swh_p25_deseasonalized_detrended_lag_14d > threshold,single,6,0.08037741376546732,0.04748886359424161,0.7387896825396826,0.6068493150684932,0.07551754725374232,0.0493472511892766,0.2768517373039652,0.17548581469114743,0.01680672268907563,0.20588235294117646,1.0643400421276539,31,841,1298,20
swh_iqr_deseasonalized_detrended_mean_14d > threshold,single,6,0.10714769022915327,0.08633873207402619,0.6828373015873016,0.7410958904109589,0.09827880182465018,0.12240825375026075,0.28615799293376215,0.19722031558758182,0.03225806451612903,0.2962962962962963,1.0902310366918024,29,545,1594,22
anom_swh_p75_deseasonalized_detrended_lag_1d > threshold,single,6,0.1483402269809042,0.10917885238577134,0.6815476190476191,0.8287671232876713,0.12586195111435766,0.12043380695978798,0.28960030905071144,0.10137356527856038,0.029850746268656716,0.35294117647058826,1.1785853236996162,26,350,1789,25
anom_swh_mean_deseasonalized_detrended_lag_14d > threshold,single,6,0.07603556771598811,0.04423385264531462,0.7499007936507937,0.5739726027397261,0.07358996119586184,0.04707848959492502,0.26144451352930115,0.1444513890226738,0.0136986301369863,0.19718309859154928,1.0332188421023605,32,914,1225,19
anom_swh_median_deseasonalized_detrended_lag_3d > threshold,single,6,0.09623922544046616,0.06375633174591669,0.6340277777777777,0.6506849315068494,0.11222109915505911,0.08549874213192649,0.2915525570433546,0.17857255984415007,0.011299435028248588,0.2978723404255319,0.8575781968531069,26,740,1399,25
anom_swh_range > threshold,single,6,0.09970171170994131,0.06829628378753713,0.48095238095238096,0.8013698630136985,0.07366084299167242,0.06311204333564582,0.27421295331215173,0.2377270867219511,0.041666666666666664,0.20512820512820512,1.353505528244966,19,403,1736,32
anom_swh_max_deseasonalized_detrended_lag_3d > threshold,single,6,0.08779478225455317,0.05594577088283218,0.6918650793650793,0.64337899543379,0.0905876544651571,0.0688115062373697,0.29425760447759874,0.18271665391444034,0.013245033112582781,0.25,0.9691586962285821,31,761,1378,20
anom_swh_max_deseasonalized_detrended_mean_7d > threshold,single,6,0.13855363782820582,0.08277589283104721,0.9129960317460317,0.7365296803652969,0.12297791872156058,0.08361334549431204,0.12416981497781614,0.15720792089918587,0.03571428571428571,0.3492063492063492,1.1266454386536633,43,569,1570,8
swh_range_deseasonalized_detrended_lag_14d > threshold,single,6,0.05866142288964634,0.03357238197029553,0.4170634920634921,0.5844748858447488,0.04441478172733389,0.026878839592471792,0.29493231733145214,0.26480365044840065,0.0,0.11428571428571428,1.3207337709322708,23,882,1257,28
swh_sd_deseasonalized_detrended_mean_14d > threshold,single,6,0.08686099385451053,0.058238302402171795,0.6426587301587302,0.7374429223744293,0.07142695358852014,0.06646071887638841,0.31428609006711544,0.16240283072358827,0.03333333333333333,0.2222222222222222,1.2160644326295074,25,549,1590,26
swh_range_deseasonalized_detrended_lag_3d > threshold,single,6,0.08227861319966583,0.050688674224471986,0.6050595238095239,0.7315068493150684,0.05817637363002936,0.04007696990698517,0.340801490869888,0.16108097964728288,0.009615384615384616,0.13533834586466165,1.4142717016224355,23,560,1579,28
anom_swh_sd_deseasonalized_detrended_mean_5d > threshold,single,6,0.11426840397240916,0.07280909504698029,0.7118055555555557,0.7488584474885845,0.08998459097342389,0.06592587379622154,0.3201607307564726,0.16460867386806802,0.01098901098901099,0.23728813559322035,1.2698522367448462,25,524,1615,26
anom_swh_p80_deseasonalized_detrended_max_5d > threshold,single,6,0.20141154148908838,0.15214834916327455,0.656547619047619,0.9013698630136986,0.16790262861887906,0.14909091643997566,0.3151896722268324,0.04314524862472226,0.0392156862745098,0.4878048780487805,1.199566341393778,28,193,1946,23
