feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
anom_swh_p75_deseasonalized_detrended,12.035091065914857,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",10,31.2
anom_swh_p75,11.361578140955512,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",16,42.0
anom_swh_p25_deseasonalized_detrended,11.089255094087354,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",10,45.6
anom_swh_p80_swan,10.942929517427425,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",17,53.6
anom_swh_max_swan,10.55764992709549,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",2,62.4
anom_swh_p80_deseasonalized_detrended,10.535126908031552,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",13,60.6
anom_swh_median,9.856207686781152,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",14,65.2
swh_p75_deseasonalized_detrended,9.838014880979312,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",27,69.6
swh_p80_deseasonalized_detrended,9.532251697972832,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",29,76.4
anom_swh_p75_deseasonalized_detrended_max_2d,9.496108595588675,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",9,91.8
anom_swh_mean_swan,9.179445013167943,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",11,80.6
anom_swh_max_waverys,9.038017969082325,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",1,55.0
anom_swh_p80_waverys,8.970208173499055,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",9,58.0
anom_swh_mean_waverys,8.703035974429893,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",8,50.5
swh_p80_swan,8.599075726605554,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",5,99.6
swh_max_deseasonalized_detrended,8.549615711794361,4,0.8,"random_forest, extra_trees, mutual_info, f_test",5,30.75
anom_swh_median_deseasonalized,8.471872912816954,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",44,98.6
anom_swh_max_deseasonalized_detrended,8.459506201861492,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",8,43.0
anom_swh_median_deseasonalized_detrended,8.289504788202924,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",6,46.5
anom_swh_max_deseasonalized_detrended_min_2d,8.254079298987701,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",26,114.4
anom_swh_min_deseasonalized_detrended,8.157475910007753,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",64,103.8
anom_swh_p80_deseasonalized_detrended_max_2d,7.908172675640435,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",10,72.25
anom_swh_mean_deseasonalized_detrended,7.848950022987337,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",25,56.25
anom_swh_min_waverys,7.802383347146061,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",28,74.0
anom_swh_p75_deseasonalized_detrended_min_2d,7.663826252594356,5,1.0,"random_forest, extra_trees, mutual_info, f_test, domain_selection",32,134.2
anom_swh_p80_deseasonalized_detrended_max_3d,7.619631994303075,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",14,98.75
swh_p75_waverys,7.5981654796645515,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",5,82.75
anom_swh_max_deseasonalized,7.52676560062082,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",42,64.0
anom_swh_p75_deseasonalized_detrended_mean_2d,7.520621621102256,4,0.8,"random_forest, mutual_info, f_test, domain_selection",28,88.25
anom_swh_p80_deseasonalized,7.4512249916393,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",26,78.0
swh_p60_deseasonalized_detrended,7.242281800325465,4,0.8,"random_forest, extra_trees, mutual_info, f_test",12,64.5
swh_mean_deseasonalized,7.215148553927731,4,0.8,"random_forest, extra_trees, mutual_info, f_test",5,74.75
swh_p75_deseasonalized_detrended_max_2d,7.177460213921073,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",58,79.25
anom_swh_mean_deseasonalized_detrended_max_2d,7.160121601039373,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",17,83.25
swh_p80_waverys,6.9800333999617346,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",7,104.25
anom_swh_p25,6.951044859700522,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",15,82.5
swh_max_deseasonalized,6.844444875780346,4,0.8,"random_forest, extra_trees, mutual_info, f_test",32,77.5
anom_swh_p75_deseasonalized_detrended_max_3d,6.840113784721091,3,0.6,"extra_trees, mutual_info, domain_selection",13,39.333333333333336
anom_swh_max_deseasonalized_detrended_max_2d,6.822519405458977,4,0.8,"extra_trees, mutual_info, f_test, domain_selection",62,88.0
