variable,run_path,threshold_label,threshold_value,mean_loss,median_loss,p99_loss,mean_events,median_events,p99_events,mean_tp,median_tp,p99_tp,mean_fp,median_fp,p99_fp,mean_tn,median_tn,p99_tn,mean_fn,median_fn,p99_fn,mean_tp_loss,median_tp_loss,p99_tp_loss,mean_fp_loss,median_fp_loss,p99_fp_loss,mean_fn_loss,median_fn_loss,p99_fn_loss,obs_tp,obs_fp,obs_tn,obs_fn,mean_obs_yearly_loss,mean_obs_yearly_events,mean_loss_minus_obs
anom_swh_p80_swan,run_g3,fold3,0.3175288322364742,4267619.12172245,4226290.873469388,6989634.906122451,26.25425,26.0,43.0,2.30475,2.0,6.0,13.57875,13.0,21.0,0.0,0.0,0.0,2.7415,3.0,7.0,597654.4218857143,487648.94693877554,1788046.1387755102,3669964.6998367347,3576092.2775510205,6176886.66122449,642558.7624163267,650198.5959183674,1788046.1387755102,28,158,2341,30,1346839.9486880468,8.285714285714286,2920779.1730344025
anom_swh_p80_swan,run_g3,fold4,0.3068333514034748,4618116.802334694,4551390.171428571,7477283.853061225,28.4105,28.0,46.0,2.30425,2.0,6.0,14.46825,14.0,23.0,0.0,0.0,0.0,2.719,3.0,7.0,603099.8351265306,487648.94693877554,1788046.1387755105,4015016.9672081633,3901191.575510205,6501985.959183674,637113.3491755102,650198.5959183674,1788046.1387755102,30,173,2326,28,1346839.9486880468,8.285714285714286,3271276.853646647
anom_swh_p80_swan,run_g3,p75,0.30544742917811335,4733039.404163266,4713939.820408164,7639833.502040816,29.1175,29.0,47.0,2.30425,2.0,6.0,14.8105,15.0,23.0,0.0,0.0,0.0,2.719,3.0,7.0,603099.8351265306,487648.94693877554,1788046.1387755105,4129939.5690367348,4063741.224489796,6666161.104653024,637113.3491755102,650198.5959183674,1788046.1387755102,30,178,2321,28,1346839.9486880468,8.285714285714286,3386199.4554752186
anom_swh_p80_swan,run_g3,fold0,0.301289662502029,4848774.7542367345,4876489.469387754,7802383.151020408,29.8295,30.0,48.0,2.30425,2.0,6.0,15.38775,15.0,24.0,0.0,0.0,0.0,2.719,3.0,7.0,603099.8351265306,487648.94693877554,1788046.1387755105,4245674.919110204,4226290.873469387,6827085.257142859,637113.3491755102,650198.5959183674,1788046.1387755102,30,183,2316,28,1346839.9486880468,8.285714285714286,3501934.8055486875
anom_swh_p80_swan,run_g3,median,0.300656425757616,4848774.7542367345,4876489.469387754,7802383.151020408,29.8295,30.0,48.0,2.30425,2.0,6.0,15.38775,15.0,24.0,0.0,0.0,0.0,2.719,3.0,7.0,603099.8351265306,487648.94693877554,1788046.1387755105,4245674.919110204,4226290.873469387,6827085.257142859,637113.3491755102,650198.5959183674,1788046.1387755102,30,183,2316,28,1346839.9486880468,8.285714285714286,3501934.8055486875
anom_swh_p80_swan,run_g3,fold2,0.3000231890132029,4874985.885134694,4876489.469387755,7802383.15102041,29.99075,30.0,48.0,2.30425,2.0,6.0,15.5485,15.0,24.0,0.0,0.0,0.0,2.719,3.0,7.0,603099.8351265306,487648.94693877554,1788046.1387755105,4271886.050008164,4226290.873469388,6828710.753632616,637113.3491755102,650198.5959183674,1788046.1387755102,30,184,2315,28,1346839.9486880468,8.285714285714286,3528145.936446647
anom_swh_p80_swan,run_g3,fold5,0.2878357808912793,5344022.897265307,5364138.41632653,8452581.746938776,32.87625,33.0,52.0,2.4365,2.0,6.0,16.86875,17.0,26.0,0.0,0.0,0.0,2.70075,3.0,7.0,624597.0262040816,487648.94693877554,1788046.1387755105,4719425.871061224,4713939.820408163,7477283.853061224,615616.1580979592,650198.5959183674,1625496.4897959186,31,203,2296,27,1346839.9486880468,8.285714285714286,3997182.9485772597
anom_swh_p80_swan,run_g3,mean,0.2844594018844267,5557084.8496653065,5526688.065306122,8615131.39591837,34.187,34.0,53.0,2.59975,2.0,6.0,17.47975,17.0,26.0,0.0,0.0,0.0,2.539,2.0,6.0,671289.4128734694,650198.5959183674,1950595.787755102,4885795.436791836,4876489.469387755,7639833.5020408165,568923.7714285714,487648.94693877554,1625496.4897959186,33,210,2289,25,1346839.9486880468,8.285714285714286,4210244.9009772595
anom_swh_p80_swan,run_g3,fold1,0.1932455952600999,10277567.293444898,10240627.885714283,14631093.904653024,63.22725,63.0,90.00999999999976,2.9305,3.0,7.0,28.78575,29.0,39.00999999999976,0.0,0.0,0.0,2.07275,2.0,6.0,786049.4650530613,650198.5959183674,2113145.436734694,9491517.828391839,9427879.640816327,13491620.865306126,454163.7192489797,487648.94693877554,1300397.191836735,38,408,2091,20,1346839.9486880468,8.285714285714286,8930727.344756851
