feature,enhanced_score,method_count,consensus_score,methods,best_position,avg_position
anom_swh_p80_deseasonalized_detrended,8.636601014768925,4,0.8,"random_forest, extra_trees, mutual_info, f_test",15,30.25
swh_p80_deseasonalized_detrended,8.342756548041942,4,0.8,"random_forest, extra_trees, mutual_info, f_test",19,35.25
swh_median_deseasonalized_detrended,8.17258463662852,4,0.8,"random_forest, extra_trees, mutual_info, f_test",24,39.0
anom_swh_p75,8.159683232844243,4,0.8,"random_forest, extra_trees, mutual_info, f_test",11,43.75
swh_p80_deseasonalized,7.923442959021355,4,0.8,"random_forest, extra_trees, mutual_info, f_test",35,45.75
anom_swh_p25_deseasonalized_detrended,7.6429515212542185,4,0.8,"random_forest, extra_trees, mutual_info, f_test",7,53.75
swh_p25_deseasonalized_detrended,7.595045550098509,4,0.8,"random_forest, extra_trees, mutual_info, f_test",28,53.25
anom_swh_min_deseasonalized_detrended,7.585437912314552,4,0.8,"random_forest, extra_trees, mutual_info, f_test",6,65.5
anom_swh_p75_deseasonalized_rel_change_14,7.436500039082837,3,0.6,"random_forest, extra_trees, domain_selection",16,26.0
anom_swh_p25,7.314978765972352,4,0.8,"random_forest, extra_trees, mutual_info, f_test",15,60.5
swh_p60,7.202093607344456,4,0.8,"random_forest, extra_trees, mutual_info, f_test",8,74.75
swh_p25_swan,7.051463061971844,4,0.8,"random_forest, extra_trees, mutual_info, f_test",6,76.5
swh_mean_deseasonalized_detrended,7.001179671085378,4,0.8,"random_forest, extra_trees, mutual_info, f_test",43,69.75
anom_swh_p80_waverys,6.769155270496772,3,0.6,"random_forest, extra_trees, mutual_info",3,22.333333333333332
anom_swh_mean_waverys,6.7482488674063745,3,0.6,"random_forest, extra_trees, mutual_info",10,22.0
anom_swh_median_persistence_2,6.487835386898427,4,0.8,"random_forest, extra_trees, mutual_info, f_test",26,94.25
swh_max_deseasonalized,6.473888053474369,4,0.8,"random_forest, extra_trees, mutual_info, f_test",32,89.0
swh_mean_waverys,6.3480225400698265,3,0.6,"random_forest, extra_trees, mutual_info",8,33.666666666666664
anom_swh_median_deseasonalized_detrended_persistence_2,6.189514885210891,4,0.8,"random_forest, extra_trees, mutual_info, f_test",62,100.5
anom_swh_p80_abs_change_7,6.168683333850044,4,0.8,"random_forest, extra_trees, mutual_info, domain_selection",49,120.75
anom_swh_max_swan,6.167642496699808,3,0.6,"mutual_info, f_test, domain_selection",12,45.0
anom_swh_median_deseasonalized_detrended,6.1003214104147965,3,0.6,"extra_trees, mutual_info, f_test",2,24.333333333333332
anom_swh_min_waverys,6.0291028675325125,3,0.6,"random_forest, extra_trees, mutual_info",26,44.333333333333336
swh_p75_waverys,6.028398601283129,3,0.6,"random_forest, extra_trees, mutual_info",29,44.0
swh_max_deseasonalized_detrended,6.005141775226424,3,0.6,"extra_trees, mutual_info, f_test",1,26.333333333333332
anom_swh_max_deseasonalized_detrended,5.942940256138953,3,0.6,"extra_trees, mutual_info, f_test",4,29.0
anom_swh_mean_deseasonalized_detrended,5.917211245296291,3,0.6,"extra_trees, mutual_info, f_test",12,29.333333333333332
swh_p25_deseasonalized,5.910453857116495,4,0.8,"random_forest, extra_trees, mutual_info, f_test",36,111.0
anom_swh_mean_swan,5.8513177027008645,3,0.6,"extra_trees, mutual_info, f_test",11,28.333333333333332
anom_swh_max_waverys,5.843251951197704,3,0.6,"extra_trees, mutual_info, domain_selection",41,65.33333333333333
anom_swh_p75_deseasonalized_detrended,5.8413528394161025,3,0.6,"extra_trees, mutual_info, f_test",5,32.666666666666664
swh_p60_deseasonalized_detrended,5.772851489748702,3,0.6,"extra_trees, mutual_info, f_test",15,33.666666666666664
swh_p75_deseasonalized_detrended,5.735850444616396,3,0.6,"extra_trees, mutual_info, f_test",13,35.0
anom_swh_p75_deseasonalized,5.694570824616788,4,0.8,"random_forest, extra_trees, mutual_info, f_test",46,111.75
swh_median_deseasonalized,5.516069048915186,3,0.6,"extra_trees, mutual_info, f_test",24,41.666666666666664
anom_swh_median_deseasonalized,5.451010585702938,3,0.6,"extra_trees, mutual_info, f_test",34,43.333333333333336
anom_swh_median,5.343027777365344,3,0.6,"extra_trees, mutual_info, f_test",14,52.0
anom_swh_p75_deseasonalized_rel_change_14_lag_1,5.299145621153309,2,0.4,"extra_trees, domain_selection",2,5.5
anom_swh_max_deseasonalized,5.2496693802093075,3,0.6,"extra_trees, mutual_info, f_test",23,53.333333333333336
anom_swh_p80_swan,5.183366152567665,3,0.6,"extra_trees, mutual_info, f_test",17,55.333333333333336
anom_swh_p80_deseasonalized,5.080228251522994,3,0.6,"extra_trees, mutual_info, f_test",47,56.666666666666664
anom_swh_p25_deseasonalized,4.98441251984869,3,0.6,"extra_trees, mutual_info, f_test",45,61.333333333333336
anom_swh_median_abs_change_7,4.924243888467774,3,0.6,"random_forest, extra_trees, mutual_info",60,88.0
anom_swh_p75_abs_change_14,4.862539913937795,2,0.4,"mutual_info, domain_selection",8,36.0
anom_swh_p75_deseasonalized_detrended_persistence_2,4.830667049202788,3,0.6,"extra_trees, mutual_info, f_test",20,74.33333333333333
anom_swh_p25_persistence_2,4.7963116235144705,3,0.6,"extra_trees, mutual_info, f_test",18,75.66666666666667
anom_swh_p75_rel_change_14_lag_1,4.777423897167237,2,0.4,"extra_trees, domain_selection",1,35.0
anom_swh_p80_deseasonalized_abs_change_7,4.736385215929958,3,0.6,"random_forest, extra_trees, domain_selection",34,128.33333333333334
anom_swh_p75_deseasonalized_detrended_rel_change_14,4.7005220719034915,3,0.6,"random_forest, extra_trees, domain_selection",46,138.0
swh_median_deseasonalized_detrended_abs_change_7,4.601104584523021,3,0.6,"random_forest, extra_trees, mutual_info",69,100.0
swh_max_waverys,4.455335075354203,3,0.6,"random_forest, extra_trees, mutual_info",95,106.0
anom_swe_max,4.409414730330472,3,0.6,"random_forest, extra_trees, mutual_info",68,108.0
swh_p80_deseasonalized_detrended_persistence_2,4.405568476691761,3,0.6,"extra_trees, mutual_info, f_test",42,91.0
anom_swh_p80_deseasonalized_abs_change_14,4.40009427394552,2,0.4,"mutual_info, domain_selection",14,63.0
anom_swh_p80_abs_change_14,4.399064963911503,2,0.4,"mutual_info, domain_selection",11,65.0
anom_swh_p80_deseasonalized_detrended_abs_change_14,4.3781487122000575,2,0.4,"mutual_info, domain_selection",15,64.0
swh_iqr_deseasonalized_detrended_rel_change_5_lag_5,4.3733555662062935,2,0.4,"random_forest, extra_trees",16,23.0
swh_p60_deseasonalized_detrended_rolling_mean_3,4.367318716235191,2,0.4,"random_forest, mutual_info",8,34.5
swh_p60_deseasonalized,4.3536135593469485,3,0.6,"extra_trees, mutual_info, f_test",38,92.66666666666667
swh_min_deseasonalized_detrended,4.351238137357396,3,0.6,"extra_trees, mutual_info, f_test",49,98.0
anom_swh_min_swan,4.318778205505662,3,0.6,"extra_trees, mutual_info, f_test",13,94.66666666666667
