combination_id,type,description,features,thresholds,f1_score,mean_loss,max_loss,zero_prob
18,double_AND,swh_p80_swan > t1 AND anom_swh_mean_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07092036516966926))",0.5521064301552105,5601398.0,8826400.0,0.0
14,double_AND,swh_p80_swan > t1 AND anom_swh_p25_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07151009018986756))",0.5382059800664452,5614675.0,9125600.0,0.0
16,double_AND,swh_p80_swan > t1 AND anom_swh_median_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.07378162789885885))",0.5464601769911503,5623838.0,8976000.0,0.0
2,double_AND,swh_max_swan > t1 AND anom_swh_p25_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07151009018986756))",0.5392265193370166,5644782.0,8901200.0,0.0
6,double_AND,swh_max_swan > t1 AND anom_swh_mean_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07092036516966926))",0.5512679162072767,5664604.0,8826400.0,0.0
4,double_AND,swh_max_swan > t1 AND anom_swh_median_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07378162789885885))",0.5456545654565457,5687044.0,8976000.0,0.0
8,double_AND,swh_max_swan > t1 AND anom_swh_p75_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07525656955802025))",0.5557986870897155,5734542.0,9050800.0,0.0
12,double_AND,swh_max_swan > t1 AND anom_swh_p80_deseasonalized > t2,"['swh_max_swan', 'anom_swh_p80_deseasonalized']","(np.float64(1.7945157051086427), np.float64(0.10675811370444095))",0.5567685589519651,5757917.0,8976000.0,0.0
10,double_AND,swh_max_swan > t1 AND anom_swh_p80_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p80_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.07665494139592516))",0.5549510337323178,5782601.0,9200400.0,0.0
0,double_AND,swh_max_swan > t1 AND swh_p80_swan > t2,"['swh_max_swan', 'swh_p80_swan']","(np.float64(1.7945157051086427), np.float64(1.7274392652511599))",0.4850926672038679,9212742.0,13389200.0,0.0
1,double_OR,swh_max_swan > t1 OR swh_p80_swan > t2,"['swh_max_swan', 'swh_p80_swan']","(np.float64(1.7945157051086427), np.float64(2.502344512939453))",0.48006254886630184,9624703.0,14361600.0,0.0
5,double_OR,swh_max_swan > t1 OR anom_swh_median_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.47947290303895784))",0.48324240062353857,9664721.0,14436400.0,0.0
17,double_OR,swh_p80_swan > t1 OR anom_swh_median_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_median_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.47947290303895784))",0.48442367601246106,9675567.0,13838000.0,0.0
7,double_OR,swh_max_swan > t1 OR anom_swh_mean_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.46376323866160596))",0.4828660436137071,9676876.0,14511200.0,0.0
3,double_OR,swh_max_swan > t1 OR anom_swh_p25_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.4593566895914331))",0.4824902723735408,9685104.0,14511200.0,0.0
19,double_OR,swh_p80_swan > t1 OR anom_swh_mean_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_mean_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.46376323866160596))",0.4840466926070039,9687722.0,13912800.0,0.0
13,double_OR,swh_max_swan > t1 OR anom_swh_p80_deseasonalized > t2,"['swh_max_swan', 'anom_swh_p80_deseasonalized']","(np.float64(1.7945157051086427), np.float64(0.5391871160717561))",0.4840466926070039,9687722.0,14586000.0,0.0
15,double_OR,swh_p80_swan > t1 OR anom_swh_p25_deseasonalized_detrended > t2,"['swh_p80_swan', 'anom_swh_p25_deseasonalized_detrended']","(np.float64(1.7274392652511599), np.float64(0.4593566895914331))",0.4836702954898911,9695950.0,13912800.0,0.0
11,double_OR,swh_max_swan > t1 OR anom_swh_p80_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p80_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.5123016994067615))",0.48484848484848486,9712219.0,14735600.0,0.0
9,double_OR,swh_max_swan > t1 OR anom_swh_p75_deseasonalized_detrended > t2,"['swh_max_swan', 'anom_swh_p75_deseasonalized_detrended']","(np.float64(1.7945157051086427), np.float64(0.5019963301969497))",0.48484848484848486,9712219.0,14735600.0,0.0
