Method,Source_File,Obs_TP,Obs_FP,Obs_TN,Obs_FN,Sim_TP,Sim_FP,Sim_TN,Sim_FN,Accuracy,Precision,Recall,Specificity,F1_Score,Obs_Total_Events,Obs_Predicted_Events,Obs_Event_Rate,Obs_Prediction_Rate
Single Rule (Best: swh_median_waverys),aep_multi_threshold_full_summary_20250709_234947.csv,198,155,2018,186,12.95625,12.394,0.0,15.729,0.867,0.561,0.516,0.929,0.537,384,353,0.15,0.138
Multi-Rule (double_AND): anom_swh_p80_swan & swh_max_swan,direct_calculation,253,251,1922,131,0.0,0.0,0.0,0.0,0.851,0.502,0.659,0.884,0.57,384,504,0.15,0.197
Machine Learning (Full Dataset CV),full_dataset_cv_calculation,209,176,1997,175,0.0,0.0,0.0,0.0,0.863,0.543,0.544,0.919,0.544,384,385,0.15,0.151
