rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
single,swh_max_swan > threshold,6,0.5706821826970591,0.16822173280529443,0.5429777019853564,0.6379878084648091,0.867579908675799,208,186,1692,104,6
single,swh_p80_swan > threshold,6,0.5551741627566932,0.16206027169147758,0.5260233448443036,0.6122879980859435,0.8735159817351598,192,157,1721,120,6
single,anom_swh_p25_deseasonalized_detrended > threshold,6,0.549648700683895,0.15853710848373728,0.6432865668497852,0.5158605620425943,0.8936073059360732,193,114,1764,119,6
single,anom_swh_median_deseasonalized_detrended > threshold,6,0.5493865961452612,0.16781229389086177,0.6243075599838326,0.5207758405887045,0.8922374429223745,193,117,1761,119,6
or_2,anom_swh_p80_trend_5 > t1 OR anom_swh_p80_deseasonalized_detrended_persistence_2 > t2,6,0.546492513933654,0.13801551810825596,0.492724225200911,0.6523945864454926,0.8598173515981736,232,227,1651,80,6
single,anom_swh_mean_deseasonalized_detrended > threshold,6,0.5459715327860154,0.1694738158158967,0.6069999593443082,0.5347572102626738,0.8894977168949771,202,132,1746,110,6
single,anom_swh_p75_deseasonalized_detrended > threshold,6,0.5454466557504255,0.17677345237958142,0.5466296956493034,0.5690659457230157,0.8817351598173516,211,158,1720,101,6
single,anom_swh_p80_deseasonalized_detrended > threshold,6,0.5395168571894658,0.19100536698127024,0.5616523593721797,0.5549849076381825,0.8853881278538812,209,148,1730,103,6
single,anom_swh_p80_deseasonalized > threshold,6,0.5380697625820267,0.17458228490866337,0.5215240172327621,0.5729875143504667,0.8789954337899544,213,166,1712,99,6
single,anom_swh_p25_deseasonalized > threshold,6,0.5378626140202075,0.16119942280544278,0.6570030111827512,0.4878664945602065,0.8945205479452053,184,103,1775,128,6
