analysis_type,description,f1_score,mean_loss,improvement_vs_single
single_rule,swh_max_swan > 2.1316,0.5519801980198019,4686220.0,0.0
multi_rule_top_1,swh_p80_swan > t1 AND anom_swh_mean_deseasonalized_detrended > t2,0.5521064301552105,5601398.0,-19.529130087789305
multi_rule_top_2,swh_p80_swan > t1 AND anom_swh_p25_deseasonalized_detrended > t2,0.5382059800664452,5614675.0,-19.81245011971269
multi_rule_top_3,swh_p80_swan > t1 AND anom_swh_median_deseasonalized_detrended > t2,0.5464601769911503,5623838.0,-20.007980845969673
