type,description,f1_score,mean_loss,zero_prob
triple_AND,swh_max_swan AND swh_p80_swan AND anom_swh_p25_deseasonalized_detrended,0.5143353605560382,8417992.0,0.0
triple_AND_OR,swh_max_swan AND swh_p80_swan OR anom_swh_median_deseasonalized_detrended,0.4298401420959147,1943304.0,0.0
