run,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Year,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost
run_g5,3853,1.75,3,2020,5,3.4,23.102,30.0,3,23,2,0.11538461538461539,0.6,0.1935483870967742,6.423076923076923,17,167,0.16275,0.8367468489921551,8.51714151609519,24.887999999999987,786012,1968992.7756908864,5753607.839999997,1319225.1597128941,3854917.252799999,4,1,647304,138708
run_g5,3853,1.75,3,2021,7,5.285714285714286,23.101,30.0,4,19,3,0.17391304347826086,0.5714285714285714,0.26666666666666666,7.478260869565218,37,172,0.18025000000000002,0.790422487395837,9.455840879662222,27.432857142857138,1710732,3060401.8123844373,8878699.079999998,2050469.214297573,5948728.3836,6,1,1572024,138708
run_g5,3853,1.75,3,2022,4,3.75,23.101,30.0,1,20,3,0.047619047619047616,0.25,0.08,8.142857142857142,15,171,0.1709375,0.8453308962751918,9.550958219307963,25.989999999999995,693540,1766392.416911692,4806694.559999999,1183482.9193308337,3220485.355199999,3,1,554832,138708
run_g5,3853,1.75,3,2023,9,4.888888888888889,23.101,30.0,7,12,3,0.3684210526315789,0.7,0.48275862068965514,6.526315789473684,44,124,0.14813888888888888,0.7561832921720553,8.458652306341865,23.226666666666638,2034384,3519848.232324202,9665173.439999986,2358298.315657215,6475666.204799992,7,2,1664496,369888
run_g5,3853,1.75,3,2024,7,3.5714285714285716,23.102,30.0,6,18,1,0.25,0.8571428571428571,0.3870967741935483,5.416666666666667,25,130,0.12414285714285714,0.8133126002607662,8.355020601217166,23.25142857142857,1155900,2704119.1276251385,7525371.359999999,1811759.815508843,5041998.8112,4,3,739776,416124
