run,N_FISHERMEN,WAVE_THRESHOLD,min_duration,Year,Events,Avg_Obs_Duration,Avg_Predicted_Events,P99_Predicted_Events,TP_Events,FP_Events,FN_Events,Precision,Recall,F1_Score,Avg_Pred_Duration_Actual,Total_Obs_Days,Total_Pred_Days,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost,Reliable_Events,Unreliable_Events,Reliable_Cost,Unreliable_Cost
run_g7,4606,1.25,7,2021,1,10.0,6.947,11.0,1,12,0,0.07692307692307693,1.0,0.14285714285714288,9.846153846153847,10,128,0.14025,0.7532976827094474,11.81283422459893,26.0,552720,652918.973262032,1437072.0,437455.71208556154,962838.2400000001,1,0,552720,0
run_g7,4606,1.25,7,2022,3,8.666666666666666,6.947,11.0,1,6,2,0.14285714285714285,0.3333333333333333,0.2,11.714285714285714,26,82,0.10866666666666668,0.7383750978695646,12.882955138236829,30.089999999999936,1437072,2136200.089201878,4989403.439999989,1431254.0597652583,3342900.304799993,1,2,607992,829080
run_g7,4606,1.25,7,2023,2,9.5,6.947,11.0,2,5,0,0.2857142857142857,1.0,0.4444444444444445,10.857142857142858,19,76,0.07050000000000001,0.6665468116752863,11.947279723810434,31.56999999999995,1050168,1320700.0897889007,3489874.0799999945,884869.0601585634,2338215.6335999966,0,2,0,1050168
