run,N_FISHERMEN,min_duration,Year,Events,Avg_Obs_Duration,Avg_Rate,Avg_Coverage,Avg_Duration,P99_Duration,Obs_Cost,Avg_Full_Cost,P99_Full_Cost,Avg_Capped_Cost,P99_Capped_Cost
run_g2,2109,3,2019,1,3.0,0.0,,,,75924,0,0,0,0
run_g2,2109,3,2020,1,4.0,0.0,,,,101232,0,0,0,0
run_g2,2109,3,2021,2,3.0,0.0,,,,151848,0,0,0,0
run_g2,2109,3,2023,3,3.6666666666666665,0.0,,,,278388,0,0,0,0
run_g2,2109,3,2024,3,4.666666666666667,0.0,,,,354312,0,0,0,0
