analysis_type,description,f1_score,mean_loss,improvement_vs_single
single_rule,anom_swe_min > 0.1175,0.29383886255924174,266659.55,0.0
multi_rule_top_1,anom_swe_min > t1 AND anom_swh_max_waverys > t2,0.4583333333333333,81190.8,69.55263743601158
multi_rule_top_2,anom_swe_min > t1 AND anom_swe_max > t2,0.45045045045045046,102942.575,61.39550411751613
multi_rule_top_3,anom_swe_min > t1 AND anom_swh_p80_waverys > t2,0.42735042735042733,116533.725,56.2986868462052
