rule_type,rule_name,folds,f1_mean,f1_std,precision_mean,recall_mean,accuracy_mean,tp_total,fp_total,tn_total,fn_total,n_folds_successful
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_persistence_7_lag_14 > t2,6,0.40184294871794873,0.28155142922103016,0.5517547086174538,0.6436507936507937,0.8940639269406394,24,214,1934,18,6
and_2,anom_swh_max_waverys > t1 AND anom_swe_min > t2,6,0.38120111742402757,0.24468274958510863,0.4068662818662819,0.5142857142857143,0.9721461187214612,20,39,2109,22,6
and_2,anom_swh_max_waverys > t1 AND anom_swe_mean > t2,6,0.37286164128269395,0.25082848050377016,0.4060966810966811,0.5142857142857143,0.9648401826484019,20,55,2093,22,6
and_2,anom_swh_max_waverys > t1 AND anom_swe_p80 > t2,6,0.3724595665772137,0.2577988750134118,0.3995645865114892,0.6476190476190476,0.8794520547945206,24,246,1902,18,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p25_deseasonalized_detrended_persistence_7 > t2,6,0.3698595442497881,0.256338541896458,0.4632085226898505,0.526984126984127,0.8657534246575342,18,270,1878,24,6
and_2,anom_swh_max_waverys > t1 AND anom_swe_max > t2,6,0.3636279573518067,0.25365427955965136,0.3947783697783698,0.6476190476190476,0.8744292237442924,24,257,1891,18,6
single,anom_swe_min > threshold,6,0.3631635177687809,0.24929520363960334,0.3073348506069094,0.645436507936508,0.9557077625570777,26,81,2067,16,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_p80_waverys > t2,6,0.3570754113985865,0.2396114058444276,0.35423947637062386,0.6714285714285714,0.8675799086757991,25,273,1875,17,6
and_2,anom_swh_max_waverys > t1 AND anom_swh_min_persistence_7_lag_1 > t2,6,0.35302840434419386,0.28554110761690027,0.6280441400304414,0.376984126984127,0.8776255707762557,16,242,1906,26,6
piecewise,anom_swe_p80 > t1 if anom_swh_p80_persistence_5 > t2 else anom_swe_p80 > t3,6,0.3486110239733428,0.24623859264536205,0.3221432838368323,0.7271825396825397,0.8584474885844747,28,296,1852,14,6
